AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
14,7,14N,i,5176.007,0.01,,7,1.0,1.0
24,7,24N,, 46940.0, 400.0,,17,1.0,3.0
16,7,16N,,5683.9,2.3,,9,1.0,1.0
15,7,15N,,101.4381,0.0006,5270.155,8,1.0,0.0
11,7,11N,,24366,5,,4,1.0,2.0
22,7,22N,,31760,210,183.0,15,1.0,5.0
25,7,25N,, 55980.0, 500.0,,18,1.0,2.0
12,7,12N,i,29580,4,,5,1.0,3.0
15,7,15N,i,11717,4,,8,1.0,0.0
22,8,22O,,9280,60,3199.0,14,0.0,6.0
24,8,24O,,18500,160,4790.0,16,0.0,4.0
28,8,28O,, 52080.0, 700.0,,20,0.0,0.0
20,8,20O,,3796.2,0.9,1673.68,12,0.0,4.0
23,8,23O,,14620,120,2780.0,15,0.0,5.0
21,8,21O,,8062,12,1220.0,13,0.0,5.0
19,8,19O,,3332.9,2.6,96.0,11,0.0,3.0
26,8,26O,,34660,160,1277.0,18,0.0,2.0
25,8,25O,,27330,170,,17,0.0,3.0
27,8,27O,, 44670.0, 500.0,,19,0.0,1.0
13,8,13O,,23115,10,2750.0,5,0.0,3.0
15,8,15O,i, 14020.0,  40.0,5183.0,7,0.0,1.0
14,8,14O,,8007.781,0.025,5173.0,6,0.0,2.0
16,8,16O,j,17984,4,6049.4,8,0.0,0.0
18,8,18O,i,15495,20,1982.07,10,0.0,2.0
18,8,18O,,-782.8163,0.0006,,10,0.0,2.0
11,8,11O,,47740,60,490.0,3,0.0,1.0
12,8,12O,,32013,12,1620.0,4,0.0,2.0
17,8,17O,i,10270.02,0.17,870.7560000000001,9,0.0,1.0
16,8,16O,i,8059,4,,8,0.0,0.0
15,8,15O,,2855.6,0.5,,7,0.0,1.0
17,8,17O,,-808.7642,0.0006,,9,0.0,1.0
16,8,16O,,-4737.0021,0.0003,,8,0.0,0.0
16,8,16O,p,8231.6,0.27,,8,0.0,0.0
16,9,16F,,10675,5,193.0,7,1.0,1.0
21,9,21F,,-47.6,1.8,279.93,12,1.0,4.0
26,9,26F,,18670,110,643.4,17,1.0,3.0
18,9,18F,i,1914.7,0.5,937.2,9,1.0,1.0
15,9,15F,,16567,14,1520.0,6,1.0,2.0
22,9,22F,,2793,12,71.65,13,1.0,5.0
24,9,24F,,7540,100,521.5,15,1.0,5.0
14,9,14F,,31960,40,540.0,5,1.0,3.0
23,9,23F,,3290,30,2246.0,14,1.0,6.0
25,9,25F,,11330,100,3300.0,16,1.0,4.0
18,9,18F,m,1994.5,0.5,,9,1.0,1.0
26,9,26F,m,19310,110,,17,1.0,3.0
28,9,28F,,33400,120,590.0,19,1.0,1.0
31,9,31F,, 56840.0, 540.0,,22,1.0,2.0
13,9,13F,, 42030.0, 500.0,,4,1.0,2.0
18,9,18F,,873.1,0.5,,9,1.0,1.0
19,9,19F,,-1487.4451,0.0008,109.89399999999999,10,1.0,2.0
19,9,19F,i,6052.2,0.9,,10,1.0,2.0
29,9,29F,,40150,530,,20,1.0,0.0
30,9,30F,, 48960.0, 500.0,,21,1.0,1.0
17,9,17F,i,13144.7,1.9,495.33,8,1.0,0.0
17,9,17F,,1951.7,0.25,,8,1.0,0.0
