AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN
90,42,90Mo,,-80173,3,948.02,48,8.0,2.0
91,42,91Mo,m,-81556,6,653.01,49,8.0,1.0
109,42,109Mo,m,-66589,11,69.7,67,8.0,15.0
86,42,86Mo,,-64110.9,2.9,566.6,44,8.0,6.0
90,42,90Mo,m,-77298,3,,48,8.0,2.0
103,42,103Mo,,-80954,9,102.561,61,8.0,11.0
95,42,95Mo,,-87711.87,0.12,59.3,53,8.0,3.0
117,42,117Mo,,-35690.0, 500.0,,75,8.0,7.0
105,42,105Mo,,-77331,9,94.85,63,8.0,13.0
81,42,81Mo,,-31460.0, 500.0,,39,8.0,11.0
101,42,101Mo,,-83520,0.3,13.497,59,8.0,9.0
101,42,101Mo,m,-83506.5,0.3,,59,8.0,9.0
118,42,118Mo,,-32370.0, 500.0,,76,8.0,6.0
101,42,101Mo,n,-83463,0.3,,59,8.0,9.0
109,42,109Mo,,-66659,11,,67,8.0,15.0
107,42,107Mo,m,-72480,9,65.4,65,8.0,15.0
87,42,87Mo,,-66884.8,2.9,31.56,45,8.0,5.0
85,42,85Mo,,-57510,16,,43,8.0,7.0
107,42,107Mo,,-72545,9,,65,8.0,15.0
119,42,119Mo,,-26580.0, 300.0,,77,8.0,5.0
110,42,110Mo,,-64536,24,213.77,68,8.0,14.0
88,42,88Mo,,-72687,4,740.54,46,8.0,4.0
115,42,115Mo,,-44550.0, 400.0,,73,8.0,9.0
116,42,116Mo,,-41210.0, 500.0,,74,8.0,8.0
94,42,94Mo,,-88414.08,0.14,871.0980000000001,52,8.0,2.0
91,42,91Mo,,-82209,6,,49,8.0,1.0
97,42,97Mo,,-87544.7,0.16,275.0,55,8.0,5.0
91,43,91Tc,m,-75847.4,2.4,139.3,48,7.0,2.0
91,43,91Tc,,-75986.7,2.4,,48,7.0,2.0
101,43,101Tc,m,-86137,24,9.32,58,7.0,8.0
99,43,99Tc,,-87327.9,0.9,140.511,56,7.0,6.0
92,43,92Tc,n,-78397,3,213.75,49,7.0,1.0
92,43,92Tc,p,-78215,3,,49,7.0,1.0
101,43,101Tc,,-86345,24,,58,7.0,8.0
100,43,100Tc,m,-85820.3,1.4,172.15,57,7.0,7.0
111,43,111Tc,,-69025,11,67.3,68,7.0,14.0
100,43,100Tc,n,-85777.1,1.4,,57,7.0,7.0
99,43,99Tc,m,-87185.2,0.9,,56,7.0,6.0
92,43,92Tc,m,-78656,3,,49,7.0,1.0
92,43,92Tc,,-78926,3,,49,7.0,1.0
89,43,89Tc,m,-67332,4,62.6,46,7.0,4.0
90,43,90Tc,,-70724.7,1,103.7,47,7.0,3.0
89,43,89Tc,,-67395,4,,46,7.0,4.0
110,43,110Tc,,-71035,9,39.5,67,7.0,15.0
105,43,105Tc,,-82290,40,76.92,62,7.0,12.0
100,43,100Tc,,-86021,1.4,,57,7.0,7.0
95,43,95Tc,m,-85982,5,38.91,52,7.0,2.0
97,43,97Tc,,-87224,4,96.57,54,7.0,4.0
88,43,88Tc,n,-61575,4,,45,7.0,5.0
88,43,88Tc,m,-61600,5,,45,7.0,5.0
88,43,88Tc,,-61670,4,,45,7.0,5.0
85,43,85Tc,,-45850.0, 400.0,,42,7.0,8.0
94,43,94Tc,,-84158,4,76.0,51,7.0,1.0
94,43,94Tc,m,-84082,5,,51,7.0,1.0
120,43,120Tc,,-35000.0, 500.0,,77,7.0,5.0
115,43,115Tc,,-55800.0, 200.0,,72,7.0,10.0
119,43,119Tc,,-40170.0, 500.0,,76,7.0,6.0
116,43,116Tc,,-51210.0, 300.0,,73,7.0,9.0
107,43,107Tc,,-78750,9,,64,7.0,14.0
87,43,87Tc,n,-57619,4,712.0,44,7.0,6.0
87,43,87Tc,m,-57683,4,,44,7.0,6.0
96,43,96Tc,m,-85788,5,34.23,53,7.0,3.0
96,43,96Tc,,-85822,5,,53,7.0,3.0
87,43,87Tc,,-57690,4,,44,7.0,6.0
86,43,86Tc,,-51570.0, 300.0,593.0,43,7.0,7.0
86,43,86Tc,m,-50050.0, 300.0,,43,7.0,7.0
117,43,117Tc,,-48140.0, 400.0,,74,7.0,8.0
103,43,103Tc,,-84604,10,45.86,60,7.0,10.0
118,43,118Tc,,-43290.0, 400.0,,75,7.0,7.0
107,43,107Tc,n,-78684,9,,64,7.0,14.0
107,43,107Tc,m,-78720,9,,64,7.0,14.0
106,43,106Tc,,-79776,12,53.9,63,7.0,13.0
97,43,97Tc,m,-87127,4,,54,7.0,4.0
109,43,109Tc,,-74283,10,7.0,66,7.0,16.0
114,43,114Tc,m,-58437,13,,71,7.0,11.0
122,43,122Tc,,-26310.0, 300.0,,79,7.0,3.0
83,43,83Tc,,-31320.0, 500.0,,40,7.0,10.0
112,43,112Tc,,-65259,6,258.0,69,7.0,13.0
112,43,112Tc,m,-64907,6,,69,7.0,13.0
113,43,113Tc,,-62812,3,114.4,70,7.0,12.0
102,43,102Tc,,-84573,9,,59,7.0,9.0
98,43,98Tc,m,-86341,3,21.8,55,7.0,5.0
98,43,98Tc,,-86432,3,,55,7.0,5.0
108,43,108Tc,,-75923,9,,65,7.0,15.0
95,43,95Tc,,-86021,5,,52,7.0,2.0
93,43,93Tc,,-83606.1,1,391.84,50,7.0,0.0
104,43,104Tc,n,-82393,25,69.7,61,7.0,11.0
93,43,93Tc,n,-81420.9,1,,50,7.0,0.0
84,43,84Tc,,-37700.0, 400.0,,41,7.0,9.0
104,43,104Tc,m,-82429,25,,61,7.0,11.0
104,43,104Tc,,-82499,25,,61,7.0,11.0
121,43,121Tc,,-31540.0, 500.0,,78,7.0,4.0
113,43,113Tc,m,-62698,3,,70,7.0,12.0
102,43,102Tc,m,-84520.0,  50.0,,59,7.0,9.0
114,43,114Tc,,-58600,430,,71,7.0,11.0
93,43,93Tc,m,-83214.3,1,,50,7.0,0.0
90,43,90Tc,m,-70580.7,1.3,,47,7.0,3.0
108,44,108Ru,,-83661,9,242.23,64,6.0,14.0
107,44,107Ru,,-83863,9,102.681,63,6.0,13.0
102,44,102Ru,,-89106.4,0.4,475.0962,58,6.0,8.0
105,44,105Ru,,-85934.5,2.5,20.605999999999998,61,6.0,11.0
103,44,103Ru,,-87267.2,0.4,2.81,59,6.0,9.0
104,44,104Ru,,-88095.8,2.5,358.02,60,6.0,10.0
103,44,103Ru,m,-87029,0.8,,59,6.0,9.0
106,44,106Ru,,-86323,5,270.07,62,6.0,12.0
90,44,90Ru,,-64884,4,738.1,46,6.0,4.0
101,44,101Ru,m,-87430.5,0.4,127.229,57,6.0,7.0
86,44,86Ru,,-39770.0, 400.0,,42,6.0,8.0
117,44,117Ru,,-59490,430,57.7,73,6.0,9.0
117,44,117Ru,m,-59310,430,,73,6.0,9.0
109,44,109Ru,,-80738,9,68.75,65,6.0,15.0
118,44,118Ru,,-57000.0, 200.0,327.6,74,6.0,8.0
95,44,95Ru,,-83458,10,787.7,51,6.0,1.0
87,44,87Ru,,-45730.0, 400.0,,43,6.0,7.0
119,44,119Ru,,-52080.0, 300.0,136.3,75,6.0,7.0
119,44,119Ru,m,-51850.0, 300.0,,75,6.0,7.0
120,44,120Ru,,-49720.0, 400.0,,76,6.0,6.0
94,44,94Ru,m,-79940,3,1430.71,50,6.0,0.0
94,44,94Ru,,-82584,3,,50,6.0,0.0
96,44,96Ru,,-86080.39,0.17,832.56,52,6.0,2.0
88,44,88Ru,,-54340.0, 300.0,616.2,44,6.0,6.0
93,44,93Ru,m,-76482.3,2.1,734.4,49,6.0,1.0
93,44,93Ru,,-77216.7,2.1,,49,6.0,1.0
121,44,121Ru,,-44620.0, 400.0,,77,6.0,5.0
122,44,122Ru,,-41780.0, 500.0,,78,6.0,4.0
92,44,92Ru,m,-71467,3,865.7,48,6.0,2.0
92,44,92Ru,,-74301.2,2.7,,48,6.0,2.0
123,44,123Ru,,-36550.0, 500.0,,79,6.0,3.0
89,44,89Ru,,-58369,24,863.7,45,6.0,5.0
124,44,124Ru,,-33590.0, 600.0,,80,6.0,2.0
125,44,125Ru,,-28370.0, 300.0,,81,6.0,1.0
91,44,91Ru,m,-68580,500,,47,6.0,3.0
91,44,91Ru,,-68239.8,2.2,,47,6.0,3.0
93,44,93Ru,n,-75134.2,2.3,,49,6.0,1.0
116,44,116Ru,,-64069,4,292.43,72,6.0,10.0
114,44,114Ru,,-70221,4,265.19,70,6.0,12.0
112,44,112Ru,,-75631,10,236.69,68,6.0,14.0
99,44,99Ru,,-87625.4,0.3,89.57,55,6.0,5.0
98,44,98Ru,,-88225,6,652.46,54,6.0,4.0
113,44,113Ru,,-71870,40,98.4,69,6.0,13.0
113,44,113Ru,m,-71740,50,,69,6.0,13.0
110,44,110Ru,,-80073,9,240.73,66,6.0,16.0
111,44,111Ru,,-76785,10,9.7,67,6.0,15.0
105,44,105Ru,m,-85913.9,2.5,,61,6.0,11.0
97,44,97Ru,,-86120.6,2.8,189.22,53,6.0,3.0
100,44,100Ru,,-89227.4,0.3,539.5103,56,6.0,6.0
101,44,101Ru,,-87958.1,0.4,,57,6.0,7.0
85,44,85Ru,,-30630.0, 500.0,,41,6.0,9.0
115,44,115Ru,,-66105,25,61.7,71,6.0,11.0
115,44,115Ru,m,-66110,90,,71,6.0,11.0
109,44,109Ru,m,-80642,9,,65,6.0,15.0
109,45,109Rh,,-84999,4,206.25,64,5.0,14.0
106,45,106Rh,m,-86231,10,137.0,61,5.0,11.0
126,45,126Rh,,-37200.0, 500.0,,81,5.0,1.0
106,45,106Rh,,-86363,5,,61,5.0,11.0
122,45,122Rh,,-51880.0, 300.0,207.1,77,5.0,5.0
122,45,122Rh,m,-51610.0, 300.0,,77,5.0,5.0
108,45,108Rh,m,-84917,12,14.54,63,5.0,13.0
128,45,128Rh,,-27340.0, 300.0,,83,5.0,1.0
110,45,110Rh,,-82829,18,,65,5.0,15.0
125,45,125Rh,,-41830.0, 500.0,,80,5.0,2.0
109,45,109Rh,m,-84773,4,,64,5.0,14.0
124,45,124Rh,,-44710.0, 400.0,,79,5.0,3.0
110,45,110Rh,m,-82610.0, 150.0,,65,5.0,15.0
123,45,123Rh,,-49190.0, 400.0,,78,5.0,4.0
107,45,107Rh,m,-86596,12,194.048,62,5.0,12.0
111,45,111Rh,,-82304,7,211.53,66,5.0,16.0
116,45,116Rh,,-70740,70,150.0,71,5.0,11.0
116,45,116Rh,m,-70540.0, 170.0,,71,5.0,11.0
114,45,114Rh,m,-75510.0, 170.0,127.0,69,5.0,13.0
117,45,117Rh,,-68897,9,,72,5.0,10.0
107,45,107Rh,,-86864,12,,62,5.0,12.0
114,45,114Rh,,-75710,70,,69,5.0,13.0
113,45,113Rh,,-78767,7,211.72,68,5.0,14.0
121,45,121Rh,,-56250,620,,76,5.0,6.0
118,45,118Rh,,-64887,24,,73,5.0,9.0
108,45,108Rh,,-85031,14,,63,5.0,13.0
119,45,119Rh,,-62823,9,,74,5.0,8.0
120,45,120Rh,,-58620.0, 200.0,98.1,75,5.0,7.0
112,45,112Rh,m,-79390,60,82.27,67,5.0,15.0
112,45,112Rh,,-79730,40,,67,5.0,15.0
120,45,120Rh,m,-58460.0, 200.0,,75,5.0,7.0
115,45,115Rh,,-74229,7,213.31,70,5.0,12.0
118,45,118Rh,m,-64690.0, 150.0,,73,5.0,9.0
117,45,117Rh,m,-68576,9,,72,5.0,10.0
127,45,127Rh,,-33730.0, 600.0,,82,5.0,0.0
101,45,101Rh,m,-87255,6,157.32,56,5.0,6.0
89,45,89Rh,,-45650.0, 360.0,,44,5.0,6.0
105,45,105Rh,m,-87721.6,2.5,129.74200000000002,60,5.0,10.0
91,45,91Rh,,-58570.0, 300.0,172.9,46,5.0,4.0
95,45,95Rh,m,-77798,4,543.3,50,5.0,0.0
95,45,95Rh,,-78341,4,,50,5.0,0.0
104,45,104Rh,,-86959.3,2.3,51.42324,59,5.0,9.0
94,45,94Rh,,-72908,3,54.6,49,5.0,1.0
98,45,98Rh,m,-83119,12,48.5,53,5.0,3.0
94,45,94Rh,m,-72853,3,,49,5.0,1.0
91,45,91Rh,m,-58400.0, 300.0,,46,5.0,4.0
100,45,100Rh,,-85591,18,32.686,55,5.0,5.0
100,45,100Rh,m,-85516,18,,55,5.0,5.0
100,45,100Rh,n,-85483,18,,55,5.0,5.0
100,45,100Rh,p,-85371,18,,55,5.0,5.0
103,45,103Rh,m,-87991.9,2.3,39.753,58,5.0,8.0
103,45,103Rh,,-88031.7,2.3,,58,5.0,8.0
94,45,94Rh,n,-72610.0, 200.0,,49,5.0,1.0
104,45,104Rh,m,-86830.3,2.3,,59,5.0,9.0
101,45,101Rh,,-87412,6,,56,5.0,6.0
105,45,105Rh,,-87851.3,2.5,,60,5.0,10.0
102,45,102Rh,m,-86642,6,41.94,57,5.0,7.0
97,45,97Rh,,-82600,40,258.76,52,5.0,2.0
96,45,96Rh,,-79688,10,51.98,51,5.0,1.0
99,45,99Rh,,-85585,19,64.4,54,5.0,4.0
99,45,99Rh,m,-85521,19,,54,5.0,4.0
97,45,97Rh,m,-82340,40,,52,5.0,2.0
90,45,90Rh,,-51630.0, 200.0,,45,5.0,5.0
90,45,90Rh,m,-51630.0, 540.0,,45,5.0,5.0
92,45,92Rh,,-62999,4,,47,5.0,3.0
93,45,93Rh,,-69011.8,2.6,240.1,48,5.0,2.0
92,45,92Rh,n,-62890.0, 100.0,,47,5.0,3.0
88,45,88Rh,,-36860.0, 400.0,,43,5.0,7.0
98,45,98Rh,,-83175,12,,53,5.0,3.0
96,45,96Rh,m,-79636,10,,51,5.0,1.0
102,45,102Rh,,-86783,6,,57,5.0,7.0
92,45,92Rh,m,-62950.0, 100.0,,47,5.0,3.0
119,46,119Pd,m,-71110.0, 150.0,,73,4.0,9.0
101,46,101Pd,,-85432,5,80.3,55,4.0,5.0
109,46,109Pd,n,-87417.5,1.1,113.4,63,4.0,13.0
109,46,109Pd,m,-87493.1,1.1,,63,4.0,13.0
109,46,109Pd,,-87606.5,1.1,,63,4.0,13.0
120,46,120Pd,,-70279.6,2.3,438.0,74,4.0,8.0
119,46,119Pd,,-71407,8,,73,4.0,9.0
131,46,131Pd,,-25740.0, 300.0,,85,4.0,3.0
93,46,93Pd,,-58980,370,983.5,47,4.0,3.0
94,46,94Pd,,-66102,4,813.8,48,4.0,2.0
127,46,127Pd,,-47220.0, 500.0,,81,4.0,1.0
94,46,94Pd,n,-58892,4,,48,4.0,2.0
113,46,113Pd,,-83590,7,35.08,67,4.0,15.0
113,46,113Pd,m,-83509,7,,67,4.0,15.0
97,46,97Pd,,-77806,5,686.62,51,4.0,1.0
114,46,114Pd,,-83490,7,332.61,68,4.0,14.0
112,46,112Pd,,-86321,7,348.66,66,4.0,16.0
115,46,115Pd,,-80426,14,89.21,69,4.0,13.0
115,46,115Pd,m,-80337,14,,69,4.0,13.0
96,46,96Pd,m,-73652,4,1415.31,50,4.0,0.0
96,46,96Pd,,-76183,4,,50,4.0,0.0
116,46,116Pd,,-79831,7,340.26,70,4.0,12.0
111,46,111Pd,m,-85813.7,0.7,72.2,65,4.0,15.0
111,46,111Pd,,-85985.9,0.7,,65,4.0,15.0
99,46,99Pd,,-82183,5,219.89,53,4.0,3.0
95,46,95Pd,m,-68091,3,1261.8,49,4.0,1.0
117,46,117Pd,,-76424,7,34.64,71,4.0,11.0
117,46,117Pd,m,-76221,7,,71,4.0,11.0
95,46,95Pd,,-69966,3,,49,4.0,1.0
118,46,118Pd,,-75388.4,2.5,378.6,72,4.0,10.0
121,46,121Pd,,-66182,3,135.0,75,4.0,7.0
110,46,110Pd,,-88330.9,0.6,373.8,64,4.0,14.0
100,46,100Pd,,-85213,18,665.49,54,4.0,4.0
94,46,94Pd,m,-61219,4,,48,4.0,2.0
121,46,121Pd,m,-66047,3,,75,4.0,7.0
105,46,105Pd,,-88417.9,1.1,280.62,59,4.0,9.0
90,46,90Pd,,-39710.0, 400.0,,44,4.0,6.0
107,46,107Pd,,-88372.7,1.2,115.74,61,4.0,11.0
103,46,103Pd,,-87457,0.9,118.736,57,4.0,7.0
129,46,129Pd,,-37880.0, 600.0,,83,4.0,1.0
91,46,91Pd,,-46170.0, 420.0,,45,4.0,5.0
124,46,124Pd,,-58400.0, 300.0,590.0,78,4.0,4.0
124,46,124Pd,m,-57400.0, 850.0,,78,4.0,4.0
121,46,121Pd,n,-66022,14,,75,4.0,7.0
125,46,125Pd,,-53960.0, 400.0,,79,4.0,3.0
125,46,125Pd,m,-53860.0, 400.0,,79,4.0,3.0
107,46,107Pd,m,-88257,1.2,,61,4.0,11.0
125,46,125Pd,n,-52160.0, 400.0,,79,4.0,3.0
104,46,104Pd,,-89395.1,1.3,555.81,58,4.0,8.0
128,46,128Pd,m,-42240.0, 500.0,1311.4,82,4.0,0.0
128,46,128Pd,,-44390.0, 500.0,,82,4.0,0.0
126,46,126Pd,,-51790.0, 400.0,693.3,80,4.0,2.0
126,46,126Pd,m,-49770.0, 400.0,,80,4.0,2.0
126,46,126Pd,n,-49680.0, 400.0,,80,4.0,2.0
126,46,126Pd,p,-49380.0, 400.0,,80,4.0,2.0
127,46,127Pd,m,-45500.0, 500.0,,81,4.0,1.0
105,46,105Pd,m,-87928.8,1.1,,59,4.0,9.0
106,46,106Pd,,-89907.5,1.1,511.85,60,4.0,10.0
107,46,107Pd,n,-88158.1,1.2,,61,4.0,11.0
98,46,98Pd,,-81321,5,862.69,52,4.0,2.0
108,46,108Pd,,-89524.2,1.1,433.93800000000005,62,4.0,12.0
130,46,130Pd,,-32730.0, 300.0,,84,4.0,2.0
123,46,123Pd,,-60430,790,,77,4.0,5.0
102,46,102Pd,,-87903,0.4,556.44,56,4.0,6.0
123,46,123Pd,m,-60330.0, 790.0,,77,4.0,5.0
122,46,122Pd,,-64616,20,499.0,76,4.0,6.0
92,46,92Pd,,-54780,350,873.6,46,4.0,4.0
123,47,123Ag,n,-68120.0,  30.0,26.96,76,3.0,6.0
115,47,115Ag,,-84983,18,41.16,68,3.0,14.0
115,47,115Ag,m,-84942,18,,68,3.0,14.0
96,47,96Ag,,-64510,90,,49,3.0,1.0
131,47,131Ag,,-40750.0, 500.0,,84,3.0,2.0
120,47,120Ag,n,-75449,4,52.5,73,3.0,9.0
128,47,128Ag,,-54710.0, 300.0,,81,3.0,1.0
125,47,125Ag,n,-63020,430,,78,3.0,4.0
120,47,120Ag,m,-75650.0,  50.0,,73,3.0,9.0
116,47,116Ag,,-82543,3,47.9,69,3.0,13.0
96,47,96Ag,m,-64510.0, 100.0,,49,3.0,1.0
96,47,96Ag,n,-62050,90,,49,3.0,1.0
96,47,96Ag,q,-57560,90,,49,3.0,1.0
116,47,116Ag,m,-82495,3,,69,3.0,13.0
121,47,121Ag,m,-74383.0,  23.0,,74,3.0,8.0
92,47,92Ag,,-37530.0, 400.0,,45,3.0,5.0
127,47,127Ag,,-58650.0, 200.0,,80,3.0,2.0
113,47,113Ag,,-87027,17,43.5,66,3.0,16.0
113,47,113Ag,m,-86984,17,,66,3.0,16.0
97,47,97Ag,m,-70290,40,1289.91,50,3.0,0.0
96,47,96Ag,p,-61820,90,,49,3.0,1.0
97,47,97Ag,,-70904,12,,50,3.0,0.0
127,47,127Ag,n,-56710.0, 200.0,,80,3.0,2.0
126,47,126Ag,n,-60470.0, 200.0,,79,3.0,3.0
126,47,126Ag,m,-60620.0, 220.0,,79,3.0,3.0
114,47,114Ag,,-84931,5,126.7,67,3.0,15.0
126,47,126Ag,,-60720.0, 200.0,,79,3.0,3.0
114,47,114Ag,m,-84732,5,,67,3.0,15.0
127,47,127Ag,m,-58630.0, 200.0,,80,3.0,2.0
116,47,116Ag,n,-82413,3,,69,3.0,13.0
122,47,122Ag,,-71110,40,,75,3.0,7.0
119,47,119Ag,,-78646,15,,72,3.0,10.0
93,47,93Ag,,-46400.0, 400.0,,46,3.0,4.0
130,47,130Ag,,-45900.0, 420.0,,83,3.0,1.0
129,47,129Ag,,-51870.0, 400.0,,82,3.0,0.0
129,47,129Ag,m,-51850.0, 400.0,,82,3.0,0.0
118,47,118Ag,m,-79508,2.5,45.79,71,3.0,11.0
118,47,118Ag,n,-79426.2,2.5,,71,3.0,11.0
118,47,118Ag,,-79553.8,2.5,,71,3.0,11.0
118,47,118Ag,p,-79274.4,2.5,,71,3.0,11.0
94,47,94Ag,m,-51050.0, 570.0,,47,3.0,3.0
94,47,94Ag,,-52400.0, 400.0,,47,3.0,3.0
123,47,123Ag,,-69570,30,,76,3.0,6.0
123,47,123Ag,m,-69510,30,,76,3.0,6.0
119,47,119Ag,m,-78626.0,  25.0,,72,3.0,10.0
123,47,123Ag,p,-68100,30,,76,3.0,6.0
132,47,132Ag,,-34400.0, 500.0,,85,3.0,3.0
133,47,133Ag,,-29080.0, 500.0,,86,3.0,4.0
124,47,124Ag,,-66230,250,,77,3.0,5.0
124,47,124Ag,m,-66180.0, 260.0,,77,3.0,5.0
125,47,125Ag,m,-64420,430,,78,3.0,4.0
125,47,125Ag,,-64520,430,,78,3.0,4.0
95,47,95Ag,p,-55050.0, 400.0,77.4,48,3.0,2.0
95,47,95Ag,n,-57380.0, 400.0,,48,3.0,2.0
95,47,95Ag,m,-59570.0, 400.0,,48,3.0,2.0
95,47,95Ag,,-59910.0, 400.0,,48,3.0,2.0
94,47,94Ag,n,-45900,370,,47,3.0,3.0
122,47,122Ag,m,-71030.0,  60.0,,75,3.0,7.0
120,47,120Ag,,-75652,4,,73,3.0,9.0
117,47,117Ag,,-82182,14,28.6,70,3.0,12.0
117,47,117Ag,m,-82153,14,,70,3.0,12.0
122,47,122Ag,p,-70940.0,  60.0,,75,3.0,7.0
124,47,124Ag,p,-66000,250,,77,3.0,5.0
124,47,124Ag,n,-66070,250,,77,3.0,5.0
122,47,122Ag,n,-71030.0,  60.0,,75,3.0,7.0
121,47,121Ag,,-74403,12,,74,3.0,8.0
110,47,110Ag,,-87457.3,1.3,1.112,63,3.0,13.0
98,47,98Ag,m,-72960,30,107.28,51,3.0,1.0
102,47,102Ag,m,-82238,8,9.4,55,3.0,5.0
111,47,111Ag,,-88215.4,1.5,59.82,64,3.0,14.0
99,47,99Ag,,-76712,6,342.6,52,3.0,2.0
99,47,99Ag,m,-76206,6,,52,3.0,2.0
108,47,108Ag,m,-87497.3,2.4,79.1401,61,3.0,11.0
101,47,101Ag,,-81334,5,98.0,54,3.0,4.0
109,47,109Ag,,-88719.4,1.3,88.0337,62,3.0,12.0
112,47,112Ag,,-86583.7,2.4,18.5,65,3.0,15.0
109,47,109Ag,m,-88631.4,1.3,,62,3.0,12.0
101,47,101Ag,m,-81060,5,,54,3.0,4.0
103,47,103Ag,m,-84669,4,27.54,56,3.0,6.0
103,47,103Ag,,-84803,4,,56,3.0,6.0
102,47,102Ag,,-82247,8,,55,3.0,5.0
111,47,111Ag,m,-88155.6,1.5,,64,3.0,14.0
107,47,107Ag,m,-88313.6,2.4,93.125,60,3.0,10.0
108,47,108Ag,,-87606.8,2.4,,61,3.0,11.0
107,47,107Ag,,-88406.7,2.4,,60,3.0,10.0
105,47,105Ag,,-87071,5,25.468000000000004,58,3.0,8.0
104,47,104Ag,m,-85109,4,6.9,57,3.0,7.0
106,47,106Ag,m,-86852,3,89.66,59,3.0,9.0
105,47,105Ag,m,-87046,5,,58,3.0,8.0
106,47,106Ag,,-86942,3,,59,3.0,9.0
104,47,104Ag,,-85116,4,,57,3.0,7.0
100,47,100Ag,m,-78122,5,15.52,53,3.0,3.0
100,47,100Ag,,-78138,5,,53,3.0,3.0
98,47,98Ag,,-73070,30,,51,3.0,1.0
110,47,110Ag,n,-87339.7,1.3,,63,3.0,13.0
110,47,110Ag,m,-87456.2,1.3,,63,3.0,13.0
111,48,111Cd,,-89252.2,0.4,245.39,63,2.0,13.0
134,48,134Cd,,-39460.0, 300.0,,86,2.0,4.0
124,48,124Cd,,-76699.4,2.6,612.8,76,2.0,6.0
125,48,125Cd,n,-71700,5,,77,2.0,5.0
101,48,101Cd,,-75836.5,1.5,252.0,53,2.0,3.0
125,48,125Cd,m,-73162,3,,77,2.0,5.0
125,48,125Cd,,-73348.1,2.9,,77,2.0,5.0
111,48,111Cd,m,-88856,0.4,,63,2.0,13.0
120,48,120Cd,,-83957,4,505.94,72,2.0,10.0
126,48,126Cd,,-72255.7,2.3,651.96,78,2.0,4.0
131,48,131Cd,,-55212,19,,83,2.0,1.0
133,48,133Cd,,-44140.0, 200.0,,85,2.0,3.0
116,48,116Cd,,-88712.49,0.16,513.49,68,2.0,14.0
106,48,106Cd,,-87132.2,1.1,632.64,58,2.0,8.0
99,48,99Cd,,-69931.1,1.6,440.8,51,2.0,1.0
132,48,132Cd,,-50470,60,618.0,84,2.0,2.0
128,48,128Cd,,-67238,6,645.8,80,2.0,2.0
128,48,128Cd,m,-65368,6,,80,2.0,2.0
128,48,128Cd,n,-64523,6,,80,2.0,2.0
128,48,128Cd,p,-62951,6,,80,2.0,2.0
118,48,118Cd,,-86702,20,487.77,70,2.0,12.0
100,48,100Cd,,-74194.6,1.7,1004.11,52,2.0,2.0
110,48,110Cd,,-90348,0.4,657.7623,62,2.0,12.0
94,48,94Cd,,-40440.0, 500.0,,46,2.0,4.0
95,48,95Cd,,-47060.0, 570.0,,47,2.0,3.0
129,48,129Cd,,-63122,5,,81,2.0,1.0
129,48,129Cd,n,-60839,9,,81,2.0,1.0
109,48,109Cd,n,-88041.2,1.5,59.6,61,2.0,11.0
109,48,109Cd,m,-88444.7,1.5,,61,2.0,11.0
119,48,119Cd,,-83980,40,27.0,71,2.0,11.0
119,48,119Cd,m,-83830,40,,71,2.0,11.0
117,48,117Cd,m,-86282,1,135.4,69,2.0,13.0
117,48,117Cd,,-86418.4,1,,69,2.0,13.0
109,48,109Cd,,-88504.3,1.5,,61,2.0,11.0
108,48,108Cd,,-89252.4,1.1,632.988,60,2.0,10.0
129,48,129Cd,m,-62779,6,,81,2.0,1.0
121,48,121Cd,,-81073.8,1.9,7.52,73,2.0,9.0
104,48,104Cd,,-83968.4,1.7,658.0,56,2.0,6.0
121,48,121Cd,m,-80858.9,1.9,,73,2.0,9.0
135,48,135Cd,,-32820.0, 400.0,,87,2.0,5.0
102,48,102Cd,,-79659.7,1.7,776.55,54,2.0,4.0
122,48,122Cd,,-80612.4,2.3,569.45,74,2.0,8.0
103,48,103Cd,,-80651.6,1.8,187.89,55,2.0,5.0
112,48,112Cd,,-90574.86,0.25,617.518,64,2.0,14.0
130,48,130Cd,,-61118,22,1325.0,82,2.0,0.0
97,48,97Cd,,-60730,420,,49,2.0,1.0
127,48,127Cd,n,-66896,10,,79,2.0,3.0
127,48,127Cd,m,-68456,4,,79,2.0,3.0
107,48,107Cd,,-86990.3,1.7,204.98,59,2.0,9.0
127,48,127Cd,,-68741,6,,79,2.0,3.0
123,48,123Cd,,-77414.2,2.7,116.4,75,2.0,7.0
123,48,123Cd,m,-77271,3,,75,2.0,7.0
113,48,113Cd,m,-88779.75,0.24,263.54,65,2.0,15.0
113,48,113Cd,,-89043.29,0.24,,65,2.0,15.0
105,48,105Cd,m,-81816.2,1.5,131.2,57,2.0,7.0
105,48,105Cd,,-84333.8,1.4,,57,2.0,7.0
97,48,97Cd,m,-59480,420,,49,2.0,1.0
97,48,97Cd,n,-58110,720,,49,2.0,1.0
130,48,130Cd,m,-58988,22,,82,2.0,0.0
96,48,96Cd,n,-49970.0, 410.0,,48,2.0,2.0
114,48,114Cd,,-90014.93,0.28,558.456,66,2.0,16.0
98,48,98Cd,n,-61010,50,1395.1,50,2.0,0.0
115,48,115Cd,m,-87903.5,0.9,181.0,67,2.0,15.0
98,48,98Cd,m,-65210,50,,50,2.0,0.0
115,48,115Cd,,-88084.5,0.7,,67,2.0,15.0
96,48,96Cd,m,-49540.0,1450.0,,48,2.0,2.0
