AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
70,26,70Fe,,-36890.0,300.0,480.0,44,2.0,6.0,8.0
67,26,67Fe,n,-45260.0,100.0,367.0,41,2.0,9.0,11.0
62,26,62Fe,,-58878.1,2.8,877.31,36,2.0,8.0,10.0
64,26,64Fe,,-54970.0,5.0,746.4,38,2.0,10.0,12.0
61,26,61Fe,m,-58058.8,2.6,206.92,35,2.0,7.0,9.0
59,26,59Fe,,-60665.0,0.3,287.023,33,2.0,5.0,7.0
65,26,65Fe,,-51218.0,5.0,364.0,39,2.0,11.0,13.0
60,26,60Fe,,-61413.0,3.0,823.83,34,2.0,6.0,8.0
66,26,66Fe,,-50068.0,4.0,574.4,40,2.0,10.0,12.0
58,26,58Fe,,-62155.3,0.3,810.7662,32,2.0,4.0,6.0
56,26,56Fe,i,-49103.5,0.4,846.7778,30,2.0,2.0,4.0
52,26,52Fe,m,-41371.43,0.29,849.45,26,2.0,2.0,4.0
57,26,57Fe,,-60182.02,0.27,14.4129,31,2.0,3.0,5.0
55,26,55Fe,,-57481.4,0.3,411.42,29,2.0,1.0,3.0
48,26,48Fe,,-18010.0,90.0,969.5,22,2.0,2.0,4.0
53,26,53Fe,,-50947.5,1.7,741.11,27,2.0,1.0,3.0
49,26,49Fe,,-24751.0,24.0,90.0,23,2.0,3.0,5.0
50,26,50Fe,i,-25999.0,10.0,764.9,24,2.0,4.0,6.0
54,26,54Fe,,-56254.6,0.3,1408.19,28,2.0,0.0,2.0
51,26,51Fe,,-40189.2,1.4,253.5,25,2.0,3.0,5.0
66,27,66Co,m,-56234.0,14.0,175.0,39,1.0,11.0,12.0
61,27,61Co,,-62898.2,0.8,1027.48,34,1.0,6.0,7.0
55,27,55Co,i,-49308.6,0.4,2165.89,28,1.0,0.0,1.0
52,27,52Co,,-34344.0,5.0,370.0,25,1.0,3.0,4.0
62,27,62Co,,-61424.0,19.0,22.0,35,1.0,7.0,8.0
64,27,64Co,,-59792.0,20.0,107.0,37,1.0,9.0,10.0
54,27,54Co,,-48010.1,0.4,197.1,27,1.0,1.0,2.0
53,27,53Co,,-42659.4,1.7,1327.0,26,1.0,2.0,3.0
63,27,63Co,,-61852.0,19.0,995.05,36,1.0,8.0,9.0
65,27,65Co,,-59185.2,2.1,882.54,38,1.0,10.0,11.0
56,27,56Co,,-56040.5,0.5,158.38,29,1.0,1.0,2.0
50,27,50Co,i,-12747.0,15.0,4835.0,23,1.0,3.0,4.0
57,27,57Co,,-59345.7,0.5,1223.98,30,1.0,2.0,3.0
59,27,59Co,,-62229.8,0.4,1099.256,32,1.0,4.0,5.0
58,27,58Co,,-59847.3,1.2,24.95,31,1.0,3.0,4.0
60,27,60Co,,-61650.4,0.4,58.59,33,1.0,5.0,6.0
67,28,67Ni,m,-62736.1,2.9,694.1,39,0.0,11.0,11.0
69,28,69Ni,n,-57279.0,4.0,321.0,41,0.0,9.0,9.0
64,28,64Ni,,-67099.0,0.5,1345.777,36,0.0,8.0,8.0
70,28,70Ni,,-59213.9,2.1,1259.55,42,0.0,8.0,8.0
71,28,71Ni,,-55406.2,2.2,280.5,43,0.0,7.0,7.0
52,28,52Ni,,-22560.0,80.0,1397.0,24,0.0,4.0,4.0
68,28,68Ni,n,-60615.0,3.0,1770.0,40,0.0,10.0,10.0
65,28,65Ni,,-65125.8,0.5,63.37,37,0.0,9.0,9.0
72,28,72Ni,,-54226.1,2.2,1096.0,44,0.0,6.0,6.0
66,28,66Ni,,-66006.3,1.4,1424.8,38,0.0,10.0,10.0
53,28,53Ni,,-29631.0,25.0,319.7,25,0.0,3.0,3.0
61,28,61Ni,,-64222.0,0.4,67.414,33,0.0,5.0,5.0
56,28,56Ni,p,-44172.1,1.9,2700.6,28,0.0,0.0,0.0
76,28,76Ni,,-42190.0,300.0,992.0,48,0.0,2.0,2.0
60,28,60Ni,,-64473.2,0.4,1332.514,32,0.0,4.0,4.0
62,28,62Ni,,-66746.4,0.4,1172.98,34,0.0,6.0,6.0
57,28,57Ni,i,-50845.2,0.9,768.5,29,0.0,1.0,1.0
55,28,55Ni,,-45336.0,0.7,2089.0,27,0.0,1.0,1.0
74,28,74Ni,,-48700.0,200.0,1024.0,46,0.0,4.0,4.0
54,28,54Ni,m,-32821.0,5.0,1392.3,26,0.0,2.0,2.0
58,28,58Ni,,-60228.9,0.3,1454.21,30,0.0,2.0,2.0
59,28,59Ni,,-61156.8,0.4,339.418,31,0.0,3.0,3.0
63,28,63Ni,m,-65425.8,0.4,87.15,35,0.0,7.0,7.0
73,28,73Ni,,-50108.2,2.4,239.2,45,0.0,5.0,5.0
58,29,58Cu,,-51667.9,0.6,202.99,29,1.0,1.0,2.0
70,29,70Cu,n,-62733.8,1.2,101.1,41,1.0,9.0,10.0
75,29,75Cu,,-54470.2,0.7,61.7,46,1.0,4.0,5.0
77,29,77Cu,,-48862.8,1.2,293.0,48,1.0,2.0,3.0
67,29,67Cu,,-67319.6,0.9,1115.4,38,1.0,10.0,11.0
59,29,59Cu,i,-52473.0,2.2,491.5,30,1.0,2.0,3.0
60,29,60Cu,i,-55804.0,5.0,62.2,31,1.0,3.0,4.0
69,29,69Cu,,-65736.2,1.4,1096.0,40,1.0,10.0,11.0
57,29,57Cu,,-47309.0,0.5,1028.0,28,1.0,0.0,1.0
68,29,68Cu,,-65567.0,1.6,84.11,39,1.0,11.0,12.0
61,29,61Cu,,-61984.1,1.0,475.05,32,1.0,4.0,5.0
64,29,64Cu,,-65424.4,0.4,159.282,35,1.0,7.0,8.0
73,29,73Cu,,-58987.4,1.9,135.4,44,1.0,6.0,7.0
72,29,72Cu,m,-59512.7,1.7,137.32,43,1.0,7.0,8.0
63,29,63Cu,,-65579.9,0.4,669.93,34,1.0,6.0,7.0
65,29,65Cu,,-67263.7,0.6,770.64,36,1.0,8.0,9.0
62,29,62Cu,i,-58174.0,6.0,40.83,33,1.0,5.0,6.0
71,29,71Cu,,-62711.1,1.5,454.2,42,1.0,8.0,9.0
66,29,66Cu,,-66258.3,0.6,185.953,37,1.0,9.0,10.0
78,30,78Zn,,-57483.2,1.9,730.2,48,2.0,2.0,4.0
74,30,74Zn,,-65756.7,2.5,605.9,44,2.0,6.0,8.0
73,30,73Zn,,-65593.4,1.9,195.5,43,2.0,7.0,9.0
80,30,80Zn,,-51648.6,2.6,1492.0,50,2.0,0.0,2.0
72,30,72Zn,,-68145.5,2.1,652.7,42,2.0,8.0,10.0
71,30,71Zn,,-67328.8,2.7,157.7,41,2.0,9.0,11.0
69,30,69Zn,m,-67979.3,0.8,438.636,39,2.0,11.0,13.0
79,30,79Zn,,-53432.3,2.2,983.0,49,2.0,1.0,3.0
75,30,75Zn,,-62558.9,2.0,126.94,45,2.0,5.0,7.0
77,30,77Zn,,-58789.2,2.0,114.721,47,2.0,3.0,5.0
76,30,76Zn,,-62303.0,1.5,598.68,46,2.0,4.0,6.0
82,30,82Zn,,-42314.0,3.0,618.0,52,2.0,2.0,4.0
70,30,70Zn,,-69564.7,1.9,884.92,40,2.0,10.0,12.0
61,30,61Zn,j,-46360.0,70.0,88.55,31,2.0,3.0,5.0
67,30,67Zn,m,-67787.1,0.8,93.312,37,2.0,9.0,11.0
60,30,60Zn,,-54174.5,0.5,1003.9,30,2.0,2.0,4.0
66,30,66Zn,,-68899.2,0.7,1039.2279,36,2.0,8.0,10.0
65,30,65Zn,m,-65858.1,0.6,53.928,35,2.0,7.0,9.0
64,30,64Zn,,-66004.0,0.6,991.54,34,2.0,6.0,8.0
62,30,62Zn,,-61168.1,0.6,953.84,32,2.0,4.0,6.0
63,30,63Zn,i,-56723.0,6.0,192.92,33,2.0,5.0,7.0
59,30,59Zn,,-47215.7,0.8,540.0,29,2.0,1.0,3.0
68,30,68Zn,,-70007.2,0.8,1077.37,38,2.0,10.0,12.0
58,30,58Zn,,-42300.0,50.0,1356.0,28,2.0,0.0,2.0
74,31,74Ga,m,-67990.0,3.0,56.55,43,3.0,7.0,10.0
65,31,65Ga,,-62657.5,0.8,61.94,34,3.0,6.0,9.0
76,31,76Ga,,-66296.6,2.0,172.29,45,3.0,5.0,8.0
69,31,69Ga,,-69327.8,1.2,318.706,38,3.0,10.0,13.0
72,31,72Ga,,-68588.3,0.8,16.44,41,3.0,9.0,12.0
61,31,61Ga,,-47130.0,40.0,220.0,30,3.0,2.0,5.0
80,31,80Ga,,-59223.7,2.9,22.4,49,3.0,1.0,4.0
64,31,64Ga,i,-56925.8,2.5,42.86,33,3.0,5.0,8.0
63,31,63Ga,,-56547.1,1.3,75.32,32,3.0,4.0,7.0
78,31,78Ga,,-63704.1,1.1,281.38,47,3.0,3.0,6.0
77,31,77Ga,,-65992.4,2.4,105.66,46,3.0,4.0,7.0
62,31,62Ga,j,-51415.8,0.6,571.2,31,3.0,3.0,6.0
67,31,67Ga,,-66879.2,1.2,166.98,36,3.0,8.0,11.0
70,31,70Ga,,-68910.2,1.2,508.17,39,3.0,11.0,14.0
82,31,82Ga,m,-52790.0,2.4,34.5,51,3.0,1.0,4.0
68,31,68Ga,,-67086.1,1.4,175.017,37,3.0,9.0,12.0
73,31,73Ga,,-69699.3,1.7,0.3,42,3.0,8.0,11.0
81,31,81Ga,,-57628.0,3.0,351.1,50,3.0,0.0,3.0
66,31,66Ga,i,-59874.0,6.0,43.812,35,3.0,7.0,10.0
71,31,71Ga,,-70139.1,0.8,389.94,40,3.0,10.0,13.0
79,31,79Ga,,-62548.4,1.2,5.4,48,3.0,2.0,5.0
75,31,75Ga,,-68460.6,0.7,22.39,44,3.0,6.0,9.0
78,32,78Ge,,-71862.0,4.0,619.36,46,4.0,4.0,8.0
74,32,74Ge,,-73422.451,0.013000000000000001,595.85,42,4.0,8.0,12.0
77,32,77Ge,m,-71053.16,0.08,159.71,45,4.0,5.0,9.0
75,32,75Ge,,-71856.97,0.05,61.92,43,4.0,7.0,11.0
62,32,62Ge,,-42140.0,140.0,964.0,30,4.0,2.0,6.0
76,32,76Ge,,-73212.898,0.018000000000000002,562.93,44,4.0,6.0,10.0
79,32,79Ge,,-69530.0,40.0,185.95,47,4.0,3.0,7.0
81,32,81Ge,m,-65612.6,2.1,679.14,49,4.0,1.0,5.0
71,32,71Ge,,-69906.7,0.8,174.94299999999996,39,4.0,11.0,15.0
66,32,66Ge,,-61607.0,2.4,956.94,34,4.0,6.0,10.0
86,32,86Ge,,-49400.0,440.0,527.0,54,4.0,4.0,8.0
85,32,85Ge,,-53123.0,4.0,107.2,53,4.0,3.0,7.0
70,32,70Ge,,-70562.0,0.8,1039.506,38,4.0,10.0,14.0
67,32,67Ge,,-62674.0,4.0,18.2,35,4.0,7.0,11.0
68,32,68Ge,,-66978.8,1.9,1015.81,36,4.0,8.0,12.0
82,32,82Ge,,-65415.1,2.2,1348.3,50,4.0,0.0,4.0
84,32,84Ge,,-58148.0,3.0,624.3,52,4.0,2.0,6.0
83,32,83Ge,,-60976.4,2.4,247.2,51,4.0,1.0,5.0
69,32,69Ge,n,-66702.8,1.3,86.76,37,4.0,9.0,13.0
72,32,72Ge,m,-71894.48,0.09,691.43,40,4.0,10.0,14.0
64,32,64Ge,,-54316.0,4.0,901.7,32,4.0,4.0,8.0
65,32,65Ge,,-56478.2,2.2,111.02,33,4.0,5.0,9.0
73,32,73Ge,,-71297.53,0.06,13.2845,41,4.0,9.0,13.0
80,32,80Ge,,-69535.3,2.1,659.15,48,4.0,2.0,6.0
76,33,76As,m,-72247.0,0.9,44.425,43,5.0,7.0,12.0
82,33,82As,m,-69973.0,4.0,131.6,49,5.0,1.0,6.0
78,33,78As,,-72817.0,10.0,184.5,45,5.0,5.0,10.0
83,33,83As,,-69669.3,2.8,306.51,50,5.0,0.0,5.0
77,33,77As,,-73916.3,1.7,194.71,44,5.0,6.0,11.0
84,33,84As,,-65854.0,3.0,99.9,51,5.0,1.0,6.0
79,33,79As,m,-72863.0,5.0,100.45,46,5.0,4.0,9.0
81,33,81As,,-72533.3,2.6,93.1,48,5.0,2.0,7.0
80,33,80As,,-72215.0,3.0,243.0,47,5.0,3.0,8.0
75,33,75As,,-73034.2,0.9,198.6063,42,5.0,8.0,13.0
70,33,70As,,-64334.0,1.4,32.046,37,5.0,9.0,14.0
66,33,66As,n,-49001.0,6.0,837.07,33,5.0,5.0,10.0
72,33,72As,,-68230.0,4.0,46.025,39,5.0,11.0,16.0
69,33,69As,,-63110.0,30.0,98.01,36,5.0,8.0,13.0
74,33,74As,,-70860.1,1.7,173.135,41,5.0,9.0,14.0
73,33,73As,m,-70525.0,4.0,67.035,40,5.0,10.0,15.0
65,33,65As,,-46940.0,80.0,3420.0,32,5.0,4.0,9.0
67,33,67As,,-56587.2,0.4,68.56,34,5.0,6.0,11.0
68,33,68As,,-58894.5,1.8,158.1,35,5.0,7.0,12.0
71,33,71As,,-67893.0,4.0,143.5,38,5.0,10.0,15.0
73,34,73Se,,-68227.0,7.0,25.71,39,6.0,11.0,17.0
66,34,66Se,,-41660.0,200.0,929.0,32,6.0,4.0,10.0
79,34,79Se,,-75917.47,0.22,95.77,45,6.0,5.0,11.0
69,34,69Se,m,-56395.9,1.5,38.85,35,6.0,7.0,13.0
70,34,70Se,,-61929.9,1.6,944.52,36,6.0,8.0,14.0
85,34,85Se,,-72413.6,2.6,461.9,51,6.0,1.0,7.0
72,34,72Se,,-67868.2,2.0,862.07,38,6.0,10.0,16.0
80,34,80Se,,-77759.5,0.9,666.27,46,6.0,4.0,10.0
81,34,81Se,m,-76286.0,1.0,103.0,47,6.0,3.0,9.0
87,34,87Se,,-66426.1,2.2,91.9,53,6.0,3.0,9.0
86,34,86Se,,-70503.2,2.5,704.3,52,6.0,2.0,8.0
71,34,71Se,,-63146.5,2.8,48.79,37,6.0,9.0,15.0
82,34,82Se,,-77593.9,0.5,654.71,48,6.0,2.0,8.0
77,34,77Se,,-74599.5,0.06,161.9223,43,6.0,7.0,13.0
75,34,75Se,,-72169.49,0.07,112.3876,41,6.0,9.0,15.0
83,34,83Se,m,-75112.0,3.0,228.92,49,6.0,1.0,7.0
90,34,90Se,,-55800.0,330.0,547.0,56,6.0,6.0,12.0
74,34,74Se,,-72213.21,0.015,634.74,40,6.0,10.0,16.0
84,34,84Se,,-75947.7,2.0,1454.55,50,6.0,0.0,6.0
76,34,76Se,,-75251.959,0.016,559.102,42,6.0,8.0,14.0
68,34,68Se,,-54189.4,0.5,853.75,34,6.0,6.0,12.0
78,34,78Se,,-77025.95,0.18,613.727,44,6.0,6.0,12.0
83,35,83Br,m,-75945.0,4.0,356.7030000000001,48,7.0,2.0,9.0
81,35,81Br,m,-77440.9,1.0,275.985,46,7.0,4.0,11.0
82,35,82Br,,-77498.7,1.0,45.9492,47,7.0,3.0,10.0
85,35,85Br,,-78575.0,3.0,344.96,50,7.0,0.0,7.0
70,35,70Br,m,-49134.0,15.0,933.6,35,7.0,7.0,14.0
86,35,86Br,,-75632.0,3.0,5.1,51,7.0,1.0,8.0
79,35,79Br,m,-75860.5,1.0,207.61,44,7.0,6.0,13.0
88,35,88Br,,-70716.0,3.0,159.2,53,7.0,3.0,10.0
73,35,73Br,,-63646.0,7.0,26.92,38,7.0,10.0,17.0
77,35,77Br,,-73234.8,2.8,105.86,42,7.0,8.0,15.0
78,35,78Br,m,-73271.0,4.0,32.32,43,7.0,7.0,14.0
89,35,89Br,,-68274.0,3.0,130.3,54,7.0,4.0,11.0
71,35,71Br,,-56502.0,5.0,9.81,36,7.0,8.0,15.0
74,35,74Br,,-65288.0,6.0,9.84,39,7.0,11.0,18.0
80,35,80Br,,-75889.0,1.0,37.0526,45,7.0,5.0,12.0
76,35,76Br,,-70289.0,9.0,45.47,41,7.0,9.0,16.0
87,35,87Br,,-73892.0,3.0,242.51,52,7.0,2.0,9.0
72,35,72Br,,-59061.8,1.0,100.76,37,7.0,9.0,16.0
75,35,75Br,,-69107.0,4.0,119.52,40,7.0,10.0,17.0
92,36,92Kr,,-68769.3,2.7,769.1,56,8.0,6.0,14.0
91,36,91Kr,,-70974.0,2.2,144.3,55,8.0,5.0,13.0
90,36,90Kr,,-74959.3,1.9,707.12,54,8.0,4.0,12.0
94,36,94Kr,,-61348.0,12.0,665.5,58,8.0,8.0,16.0
89,36,89Kr,,-76535.8,2.1,28.59,53,8.0,3.0,11.0
86,36,86Kr,,-83265.67599999999,0.004,1564.61,50,8.0,0.0,8.0
87,36,87Kr,,-80709.53,0.25,531.99,51,8.0,1.0,9.0
98,36,98Kr,,-44120.0,300.0,329.0,62,8.0,12.0,20.0
93,36,93Kr,,-64136.0,2.5,117.45,57,8.0,7.0,15.0
85,36,85Kr,n,-79488.5,2.0,304.871,49,8.0,1.0,9.0
95,36,95Kr,m,-55964.0,19.0,113.8,59,8.0,9.0,17.0
88,36,88Kr,,-79691.3,2.6,775.32,52,8.0,2.0,10.0
84,36,84Kr,m,-79203.27,0.18,881.615,48,8.0,2.0,10.0
100,36,100Kr,,-34470.0,400.0,309.0,64,8.0,14.0,22.0
72,36,72Kr,,-53941.0,8.0,671.0,36,8.0,8.0,16.0
82,36,82Kr,,-80591.795,0.006,776.5260000000002,46,8.0,4.0,12.0
79,36,79Kr,,-74442.0,3.0,129.77,43,8.0,7.0,15.0
81,36,81Kr,,-77696.2,1.1,49.57,45,8.0,5.0,13.0
75,36,75Kr,,-64324.0,8.0,178.99,39,8.0,11.0,19.0
83,36,83Kr,,-79990.643,0.009000000000000001,9.4057,47,8.0,3.0,11.0
74,36,74Kr,,-62331.8,2.0,455.61,38,8.0,10.0,18.0
78,36,78Kr,,-74178.3,0.3,455.033,42,8.0,8.0,16.0
73,36,73Kr,m,-56118.0,7.0,144.05,37,8.0,9.0,17.0
80,36,80Kr,,-77893.5,0.7,616.6,44,8.0,6.0,14.0
77,36,77Kr,,-70169.5,2.0,66.5,41,8.0,9.0,17.0
76,36,76Kr,,-69014.0,4.0,423.96,40,8.0,10.0,18.0
80,37,80Rb,m,-71681.6,2.0,175.25,43,9.0,7.0,16.0
97,37,97Rb,m,-58442.5,1.9,68.1,60,9.0,10.0,19.0
78,37,78Rb,,-66935.0,3.0,46.84,41,9.0,9.0,18.0
73,37,73Rb,,-46010.0,40.0,3230.0,36,9.0,8.0,17.0
89,37,89Rb,,-81712.0,5.0,220.948,52,9.0,2.0,11.0
81,37,81Rb,,-75457.0,5.0,86.31,44,9.0,6.0,15.0
86,37,86Rb,,-82747.0,0.2,488.2,49,9.0,1.0,10.0
88,37,88Rb,m,-81235.2,0.3,27.515,51,9.0,1.0,10.0
96,37,96Rb,,-61354.0,3.0,59.31,59,9.0,9.0,18.0
94,37,94Rb,n,-66487.9,2.4,4.54,57,9.0,7.0,16.0
87,37,87Rb,,-84597.802,0.006,402.588,50,9.0,0.0,9.0
79,37,79Rb,,-70802.8,1.9,39.37,42,9.0,8.0,17.0
98,37,98Rb,m,-54296.0,20.0,50.2,61,9.0,11.0,20.0
76,37,76Rb,,-60479.1,0.9,101.29,39,9.0,11.0,20.0
91,37,91Rb,,-77745.0,8.0,108.789,54,9.0,4.0,13.0
99,37,99Rb,,-51121.0,4.0,65.0,62,9.0,12.0,21.0
83,37,83Rb,m,-79028.5,2.3,5.2357,46,9.0,4.0,13.0
95,37,95Rb,,-65890.0,20.0,192.0,58,9.0,8.0,17.0
75,37,75Rb,,-57218.7,1.2,38.0,38,9.0,10.0,19.0
90,37,90Rb,m,-79259.0,6.0,106.9,53,9.0,3.0,12.0
84,37,84Rb,,-79759.0,2.2,248.06,47,9.0,3.0,12.0
74,37,74Rb,,-51916.0,3.0,478.0,37,9.0,9.0,18.0
77,37,77Rb,,-64830.5,1.3,144.83,40,9.0,10.0,19.0
93,37,93Rb,m,-68197.0,8.0,253.39,56,9.0,6.0,15.0
85,37,85Rb,m,-81653.335,0.005,151.192,48,9.0,2.0,11.0
82,37,82Rb,,-76188.0,3.0,69.0,45,9.0,5.0,14.0
92,37,92Rb,,-74772.0,6.0,142.308,55,9.0,5.0,14.0
93,38,93Sr,,-80086.0,8.0,213.431,55,10.0,5.0,15.0
94,38,94Sr,,-78845.7,1.7,836.9,56,10.0,6.0,16.0
78,38,78Sr,,-63174.0,7.0,277.6,40,10.0,10.0,20.0
89,38,89Sr,,-86209.03,0.09,1032.0,51,10.0,1.0,11.0
92,38,92Sr,,-82867.0,3.0,814.98,54,10.0,4.0,14.0
77,38,77Sr,,-57803.0,8.0,186.0,39,10.0,11.0,21.0
90,38,90Sr,,-85950.9,1.4,831.68,52,10.0,2.0,12.0
74,38,74Sr,,-40830.0,100.0,471.0,36,10.0,8.0,18.0
76,38,76Sr,,-54250.0,30.0,262.3,38,10.0,10.0,20.0
91,38,91Sr,,-83652.0,5.0,93.628,53,10.0,3.0,13.0
88,38,88Sr,,-87921.629,0.006,1836.09,50,10.0,0.0,10.0
79,38,79Sr,,-65480.0,7.0,159.21,41,10.0,9.0,19.0
100,38,100Sr,,-59818.0,7.0,129.18,62,10.0,12.0,22.0
85,38,85Sr,m,-80864.5,2.8,231.79,47,10.0,3.0,13.0
97,38,97Sr,,-68581.0,3.0,167.13,59,10.0,9.0,19.0
81,38,81Sr,,-71528.0,3.0,79.23,43,10.0,7.0,17.0
86,38,86Sr,,-84523.1,0.005,1076.68,48,10.0,2.0,12.0
98,38,98Sr,,-66422.0,3.0,144.7,60,10.0,10.0,20.0
84,38,84Sr,,-80649.6,1.2,793.22,46,10.0,4.0,14.0
82,38,82Sr,,-76010.0,6.0,573.54,44,10.0,6.0,16.0
101,38,101Sr,,-55325.0,8.0,111.6,63,10.0,13.0,23.0
99,38,99Sr,,-62519.0,5.0,90.8,61,10.0,11.0,21.0
83,38,83Sr,,-76798.0,7.0,35.47,45,10.0,5.0,15.0
102,38,102Sr,,-52160.0,70.0,126.0,64,10.0,14.0,24.0
95,38,95Sr,,-75117.0,6.0,352.02,57,10.0,7.0,17.0
87,38,87Sr,,-84880.076,0.005,388.5287,49,10.0,1.0,11.0
80,38,80Sr,,-70311.0,3.0,385.88,42,10.0,8.0,18.0
96,38,96Sr,,-72918.0,8.0,814.93,58,10.0,8.0,18.0
98,39,98Y,r,-71317.0,8.0,119.353,59,11.0,9.0,20.0
101,39,101Y,,-65055.0,7.0,128.31,62,11.0,12.0,23.0
95,39,95Y,m,-80120.0,7.0,685.9,56,11.0,6.0,17.0
100,39,100Y,,-67321.0,11.0,10.7,61,11.0,11.0,22.0
91,39,91Y,m,-85795.7,1.8,555.58,52,11.0,2.0,13.0
99,39,99Y,,-70644.0,7.0,125.122,60,11.0,10.0,21.0
93,39,93Y,m,-83468.0,10.0,590.22,54,11.0,4.0,15.0
96,39,96Y,n,-76675.0,6.0,122.297,57,11.0,7.0,18.0
97,39,97Y,,-76115.0,7.0,667.52,58,11.0,8.0,19.0
94,39,94Y,m,-81149.0,6.0,432.3,55,11.0,5.0,16.0
83,39,83Y,,-72206.0,19.0,62.04,44,11.0,6.0,17.0
81,39,81Y,,-65713.0,5.0,113.28,42,11.0,8.0,19.0
87,39,87Y,,-83018.4,1.1,380.82,48,11.0,2.0,13.0
89,39,89Y,,-87711.2,0.3,908.97,50,11.0,0.0,11.0
84,39,84Y,,-73894.0,4.0,16.8,45,11.0,5.0,16.0
85,39,85Y,,-77842.0,19.0,19.68,46,11.0,4.0,15.0
90,39,90Y,,-86496.9,0.4,202.496,51,11.0,1.0,12.0
88,39,88Y,m,-83906.1,1.5,231.927,49,11.0,1.0,12.0
86,39,86Y,,-79283.0,14.0,208.04,47,11.0,3.0,14.0
80,39,80Y,,-61148.0,6.0,228.5,41,11.0,9.0,20.0
82,39,82Y,n,-67557.0,5.0,142.34,43,11.0,7.0,18.0
79,39,79Y,,-57800.0,80.0,184.0,40,11.0,10.0,21.0
84,40,84Zr,,-71422.0,5.0,539.92,44,10.0,6.0,16.0
91,40,91Zr,m,-84728.3,0.4,1204.81,51,10.0,1.0,11.0
88,40,88Zr,,-83629.0,5.0,1057.03,48,10.0,2.0,12.0
85,40,85Zr,,-73175.0,6.0,50.12,45,10.0,5.0,15.0
97,40,97Zr,m,-81672.34,0.2,1103.13,57,10.0,7.0,17.0
98,40,98Zr,,-81282.0,8.0,854.06,58,10.0,8.0,18.0
94,40,94Zr,,-87269.33,0.16,918.75,54,10.0,4.0,14.0
104,40,104Zr,,-65718.0,9.0,139.3,64,10.0,14.0,24.0
108,40,108Zr,m,-48880.0,400.0,174.3,68,10.0,14.0,24.0
82,40,82Zr,,-63614.1,1.6,407.0,42,10.0,8.0,18.0
80,40,80Zr,,-54760.0,300.0,288.9,40,10.0,10.0,20.0
101,40,101Zr,,-73161.0,8.0,98.16,61,10.0,11.0,21.0
103,40,103Zr,,-67809.0,9.0,109.1,63,10.0,13.0,23.0
96,40,96Zr,,-85438.86,0.11,1581.64,56,10.0,6.0,16.0
86,40,86Zr,,-77969.0,4.0,751.75,46,10.0,4.0,14.0
87,40,87Zr,m,-79011.0,4.0,200.91,47,10.0,3.0,13.0
95,40,95Zr,,-85659.9,0.9,953.97,55,10.0,5.0,15.0
93,40,93Zr,,-87122.0,0.5,266.82,53,10.0,3.0,13.0
100,40,100Zr,,-76373.0,8.0,212.61,60,10.0,10.0,20.0
99,40,99Zr,,-77617.0,10.0,121.74,59,10.0,9.0,19.0
83,40,83Zr,m,-65859.0,6.0,52.72,43,10.0,7.0,17.0
105,40,105Zr,,-61458.0,12.0,124.0,65,10.0,15.0,25.0
92,40,92Zr,,-88459.02,0.09,934.51,52,10.0,2.0,12.0
90,40,90Zr,,-88772.55,0.12,1760.74,50,10.0,0.0,10.0
89,40,89Zr,m,-84290.2,2.8,587.82,49,10.0,1.0,11.0
102,40,102Zr,,-71581.0,9.0,151.78,62,10.0,12.0,22.0
106,40,106Zr,,-58750.0,200.0,152.1,66,10.0,16.0,26.0
100,41,100Nb,m,-79478.5,2.0,67.4,59,9.0,9.0,18.0
82,41,82Nb,m,-50630.0,300.0,418.0,41,9.0,9.0,18.0
101,41,101Nb,,-78891.0,4.0,119.41,60,9.0,10.0,19.0
103,41,103Nb,,-75029.0,4.0,126.42,62,9.0,12.0,21.0
96,41,96Nb,,-85602.83,0.15,44.19,55,9.0,5.0,14.0
98,41,98Nb,,-83525.0,5.0,84.0,57,9.0,7.0,16.0
109,41,109Nb,,-56690.0,430.0,116.7,68,9.0,14.0,23.0
84,41,84Nb,,-61193.8,0.4,48.0,43,9.0,7.0,16.0
83,41,83Nb,,-57610.0,160.0,129.52,42,9.0,8.0,17.0
97,41,97Nb,m,-84860.0,4.0,743.35,56,9.0,6.0,15.0
99,41,99Nb,,-82335.0,12.0,365.27,58,9.0,8.0,17.0
108,41,108Nb,,-59545.0,8.0,64.3,67,9.0,15.0,24.0
93,41,93Nb,m,-87182.0,1.5,30.77,52,9.0,2.0,11.0
90,41,90Nb,n,-82537.0,3.0,122.37,49,9.0,1.0,10.0
92,41,92Nb,n,-86227.5,1.8,135.5,51,9.0,1.0,10.0
91,41,91Nb,,-86638.0,2.9,104.6,50,9.0,0.0,9.0
94,41,94Nb,m,-86328.2,1.5,40.892,53,9.0,3.0,12.0
106,41,106Nb,,-66202.7,1.4,107.9,65,9.0,15.0,24.0
105,41,105Nb,,-69916.0,4.0,128.1,64,9.0,14.0,23.0
104,41,104Nb,,-71811.0,1.8,8.7,63,9.0,13.0,22.0
95,41,95Nb,m,-86550.6,0.5,235.69,54,9.0,4.0,13.0
89,41,89Nb,,-80626.0,24.0,35.0,48,9.0,2.0,11.0
87,41,87Nb,,-73874.0,7.0,3.9,46,9.0,4.0,13.0
99,42,99Mo,m,-85872.33,0.23,97.785,57,8.0,7.0,15.0
89,42,89Mo,m,-74628.0,4.0,118.8,47,8.0,3.0,11.0
