AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum
17,9,17F,i,13144.7,1.9,495.33,8,1.0,0.0,1.0
20,9,20F,,-17.463,0.03,656.02,11,1.0,3.0,4.0
27,9,27F,,25130.0,120.0,777.0,18,1.0,2.0,3.0
32,10,32Ne,,37000.0,500.0,722.0,22,2.0,2.0,4.0
26,10,26Ne,,481.0,18.0,2018.0,16,2.0,4.0,6.0
29,10,29Ne,,18400.0,150.0,232.0,19,2.0,1.0,3.0
24,10,24Ne,,-5951.6,0.5,1981.6,14,2.0,6.0,8.0
23,10,23Ne,,-5154.05,0.1,1016.926,13,2.0,5.0,7.0
27,10,27Ne,,7050.0,90.0,765.0,17,2.0,3.0,5.0
25,10,25Ne,,-2036.0,29.0,1702.8,15,2.0,5.0,7.0
30,10,30Ne,,23280.0,250.0,792.0,20,2.0,0.0,2.0
22,10,22Ne,i,5855.0,10.0,1274.537,12,2.0,4.0,6.0
18,10,18Ne,,5317.6,0.4,1887.3,8,2.0,0.0,2.0
16,10,16Ne,,23987.0,20.0,1770.0,6,2.0,2.0,4.0
21,10,21Ne,i,3129.0,0.3,350.727,11,2.0,3.0,5.0
20,10,20Ne,,-7041.9322,0.0015,1633.674,10,2.0,2.0,4.0
19,10,19Ne,,1752.05,0.16,238.27,9,2.0,1.0,3.0
17,10,17Ne,,16500.5,0.4,1288.0,7,2.0,1.0,3.0
15,10,15Ne,,40220.0,70.0,1900.0,5,2.0,3.0,5.0
26,11,26Na,,-6861.0,4.0,82.2,15,3.0,5.0,8.0
20,11,20Na,i,13348.9,1.2,596.0,9,3.0,1.0,4.0
30,11,30Na,,8475.0,5.0,150.62,19,3.0,1.0,4.0
25,11,25Na,,-9357.8,1.2,89.53,14,3.0,6.0,9.0
27,11,27Na,,-5518.0,4.0,62.9,16,3.0,4.0,7.0
19,11,19Na,,12929.0,11.0,120.0,8,3.0,0.0,3.0
28,11,28Na,,-988.0,10.0,55.2,17,3.0,3.0,6.0
31,11,31Na,,12246.0,14.0,375.0,20,3.0,0.0,3.0
32,11,32Na,,18640.0,40.0,569.0,21,3.0,1.0,4.0
21,11,21Na,,-2184.86,0.04,331.9,10,3.0,2.0,5.0
29,11,29Na,,2680.0,7.0,72.0,18,3.0,2.0,5.0
24,11,24Na,,-8417.901,0.017,472.2074,13,3.0,5.0,8.0
22,11,22Na,,-5181.39,0.13,583.05,11,3.0,3.0,6.0
35,11,35Na,,37830.0,670.0,373.0,24,3.0,4.0,7.0
23,11,23Na,j,10060.6,2.0,440.2,12,3.0,4.0,7.0
18,11,18Na,,25040.0,90.0,300.0,7,3.0,1.0,4.0
33,11,33Na,,23780.0,450.0,429.0,22,3.0,2.0,5.0
28,12,28Mg,,-15019.95,0.26,1473.54,16,4.0,4.0,8.0
23,12,23Mg,,-5473.67,0.03,450.7,11,4.0,3.0,7.0
30,12,30Mg,,-8881.4,1.3,1482.8,18,4.0,2.0,6.0
38,12,38Mg,,34070.0,500.0,656.0,26,4.0,2.0,6.0
22,12,22Mg,,-399.99,0.16,1247.02,10,4.0,2.0,6.0
27,12,27Mg,,-14586.59,0.05,984.88,15,4.0,5.0,9.0
19,12,19Mg,,31840.0,60.0,1380.0,7,4.0,1.0,5.0
31,12,31Mg,,-3122.0,3.0,50.1,19,4.0,1.0,5.0
21,12,21Mg,,10903.9,0.8,201.0,9,4.0,1.0,5.0
24,12,24Mg,,-13933.578000000001,0.013000000000000001,1368.672,12,4.0,4.0,8.0
25,12,25Mg,,-13192.78,0.05,585.045,13,4.0,5.0,9.0
33,12,33Mg,,4962.9,2.7,484.1,21,4.0,1.0,5.0
36,12,36Mg,,20380.0,690.0,662.0,24,4.0,4.0,8.0
40,12,40Mg,,49550.0,500.0,500.0,28,4.0,0.0,4.0
29,12,29Mg,,-10612.4,0.3,54.6,17,4.0,3.0,7.0
32,12,32Mg,,-829.0,3.0,885.3,20,4.0,0.0,4.0
20,12,20Mg,,17477.7,1.9,1598.0,8,4.0,0.0,4.0
