AAA,ZZZi,AEl,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,Zshell,Nshell,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
15,4,15Be,49830,170,,11,2.0,3.0,,,5.0,6.082201995573399,4.865761596458721,3.2666666666666666,0.0,1.0
13,4,13Be,33659,10,,9,2.0,1.0,,,3.0,5.528774813678871,5.103484443395883,1.9230769230769231,0.0,1.0
8,4,8Be,21568,3,,4,2.0,2.0,,,4.0,3.9999999999999996,6.0,0.0,0.0,0.0
8,4,8Be,32436,2,,4,2.0,2.0,,,4.0,3.9999999999999996,6.0,0.0,0.0,0.0
12,5,12B,13369.4,1.3,0.95314,7,3.0,1.0,,,4.0,5.241482788417793,8.735804647362988,0.3333333333333333,1.0,1.0
12,5,12B,26088,19,,7,3.0,1.0,,,4.0,5.241482788417793,8.735804647362988,0.3333333333333333,1.0,1.0
14,5,14B,40728,20,0.74,9,3.0,1.0,,,4.0,5.808785733563703,8.298265333662435,1.1428571428571428,1.0,1.0
17,5,17B,43720,200,,12,3.0,4.0,,,7.0,6.611489018457944,7.778222374656407,2.8823529411764706,1.0,0.0
16,5,16B,37112,25,2.32,11,3.0,3.0,,,6.0,6.3496042078727974,7.937005259840997,2.25,1.0,1.0
15,5,15B,28957,21,,10,3.0,2.0,,,5.0,6.082201995573399,8.109602660764535,1.6666666666666667,1.0,0.0
13,5,13B,16561.9,1,3.4828,8,3.0,0.0,,,3.0,5.528774813678871,8.505807405659803,0.6923076923076923,1.0,0.0
14,5,14B,23664,21,,9,3.0,1.0,,,4.0,5.808785733563703,8.298265333662435,1.1428571428571428,1.0,1.0
18,5,18B,51790,200,,13,3.0,5.0,,,8.0,6.868285455319991,7.63142828368888,3.5555555555555554,1.0,1.0
7,5,7B,27677,25,,2,3.0,0.0,,,3.0,3.6593057100229713,10.455159171494206,1.2857142857142858,1.0,0.0
19,5,19B,59770,530,,14,3.0,6.0,,,9.0,7.1203673589019925,7.495123535686309,4.2631578947368425,1.0,0.0
8,5,8B,22921.6,1,0.7695,3,3.0,1.0,,,4.0,3.9999999999999996,10.0,0.5,1.0,1.0
8,5,8B,33546,8,,3,3.0,1.0,,,4.0,3.9999999999999996,10.0,0.5,1.0,1.0
