n,z,firstExcitedStateEnergy(keV)
107,79,36.14
108,79,19.53
109,79,16
110,79,9.94
111,79,29.1
112,79,11.1
113,79,31.61
114,79,38.234
115,79,35.22
116,79,61.434
117,79,6.48
118,79,77.351
119,79,55.1812
120,79,77.1942
121,79,59.98
122,79,101
124,79,39
126,79,907
92,80,672.8
95,80,80
96,80,613.3
97,80,77.2
98,80,558
100,80,419.8
102,80,328
104,80,366.78
105,80,26.1
106,80,405.33
108,80,412.91
109,80,64.3
110,80,416.32
111,80,51.58
112,80,422.79
113,80,39.51
114,80,427.92
115,80,37.083
116,80,425.98
117,80,133.96
118,80,411.80251
119,80,158.37859
120,80,367.943
121,80,1.5648
122,80,439.512
123,80,7.49
124,80,436.552
125,80,379.46
126,80,1068.2
128,80,669
130,80,643
96,81,807
100,81,258
102,81,273
104,81,184
106,81,299.33
107,81,35
108,81,281
109,81,83
110,81,341.2
112,81,365.2
113,81,192.07
114,81,383.66
115,81,191.7
116,81,385.77
117,81,173.41
118,81,366.89
119,81,147.634
120,81,331.16
121,81,186.3
122,81,279.1954
123,81,139.97
124,81,203.7
125,81,265.832
126,81,351.06
127,81,39.858
128,81,323.81
129,81,62.5
98,82,1168
100,82,888.3
101,82,97
102,82,570
104,82,536
105,82,33
106,82,591
107,82,40
108,82,658
109,82,597
110,82,768.84
112,82,930.7
113,82,134.52
114,82,1049.2
115,82,84.88
116,82,1063.5
118,82,1026.61
119,82,88.5
120,82,960.67
121,82,126.5
122,82,899.165
123,82,2.329
124,82,803.054
125,82,569.6982
126,82,2614.522
127,82,778.89
128,82,799.7
129,82,438.9
130,82,804.9
131,82,675
132,82,835
134,82,887
104,83,63
105,83,65
106,83,99.6
107,83,45
108,83,148.7
109,83,147
110,83,278.44
111,83,145
112,83,401
113,83,158.3
114,83,500
116,83,667
118,83,846.35
119,83,7
120,83,883.35
121,83,5.55
122,83,795.89
123,83,59.897
124,83,669.77
125,83,63.02
126,83,896.28
127,83,46.539
128,83,404.866
129,83,115.183
130,83,257.86
131,83,53.226
132,83,183.5
134,83,744
105,84,194
106,84,234.1
107,84,40
108,84,262
109,84,100
110,84,319.31
111,84,200
112,84,463.12
113,84,130
114,84,604.94
115,84,72
116,84,665.9
117,84,6.3
118,84,677.2
119,84,62.51
120,84,684.341
121,84,143.166
122,84,700.66
123,84,68.557
124,84,686.526
125,84,544.98
126,84,1181.398
127,84,687.2
128,84,727.33
129,84,292.805
130,84,609.317
131,84,271.228
132,84,549.76
133,84,254.1
134,84,509.7
106,85,55
108,85,5
110,85,33
111,85,157.9
112,85,52
115,85,112
116,85,634.9
118,85,221.4
119,85,587.3
120,85,265.05
122,85,344.55
123,85,23.527
124,85,408.37
125,85,72.65
126,85,674.11
127,85,54.99
128,85,340.5
129,85,59
130,85,169.88
131,85,44.59
132,85,100.13
134,85,58.9
109,86,59
112,86,339
113,86,180
114,86,432.6
116,86,504
117,86,362
118,86,542.9
119,86,31.4
120,86,575.3
121,86,120.03
122,86,635.8
123,86,110.25
124,86,643.9
125,86,539.9
126,86,1273.7
127,86,704.9
128,86,694.7
129,86,213.97
130,86,461.4
131,86,88.89
132,86,324.32
133,86,4.413
134,86,240.986
135,86,30
136,86,186.211
116,87,161.9
117,87,41
118,87,209
120,87,599.6
121,87,633
122,87,606.06
124,87,395.82
125,87,82.47
126,87,498
127,87,121
128,87,670.34
129,87,133.3
130,87,210
132,87,15
133,87,6.92
134,87,26
135,87,40
136,87,12.882
138,87,28.545
140,87,2.74
115,88,246
117,88,263
118,88,474.3
119,88,554
120,88,520.2
121,88,644
122,88,603.7
123,88,133.86
124,88,629.3
125,88,546.35
126,88,1382.3
127,88,773
128,88,688.2
129,88,209
130,88,388.9
131,88,16.6
132,88,178.47
133,88,53.14
134,88,111.12
135,88,29.858
136,88,84.372
137,88,25.41
138,88,67.67
139,88,1.733
140,88,63.823
141,88,41.25
142,88,57.4
143,88,46.23
144,88,54.5
119,89,506
123,89,133.6
124,89,466.5
125,89,91.8
126,89,1317
127,89,48
128,89,660.2
130,89,169
131,89,13.79
132,89,9
134,89,12.5
135,89,17.6
136,89,29.91
137,89,5.1
138,89,27.369
139,89,6.28
140,89,7
141,89,8.99
142,89,5.25
143,89,7.5
123,90,799
124,90,623
125,90,560.8
126,90,1478.2
127,90,673.3
128,90,689
129,90,244
130,90,386.5
131,90,47
132,90,183.3
133,90,51.3
134,90,98.1
135,90,68.4
136,90,72.2
137,90,9.3
138,90,57.773
139,90,0.0076
140,90,53.227
141,90,41.953
142,90,49.369
144,90,49.55
146,90,48.4
126,91,1854
127,91,82
132,91,27
138,91,11.4
139,91,28
140,91,9.206
142,91,6.677
143,91,73.92
144,91,10
145,91,31.5
146,91,35
124,92,2240
126,92,2105
134,92,81.3
136,92,59
137,92,15
138,92,51.727
139,92,40
140,92,47.573
141,92,40.351
142,92,43.4981
143,92,0.076
144,92,45.244
145,92,11.393
146,92,44.916
147,92,42.534
148,92,45
150,92,47.8
139,93,50
140,93,34.4
142,93,34.23
144,93,33.19629
145,93,26.4266
146,93,31.1309
149,93,55.58
150,93,76
140,94,4170
141,94,41.9
142,94,44.63
143,94,47.71
144,94,44.065
145,94,7.861
146,94,42.824
147,94,41.9722
148,94,44.54
149,94,58.13
150,94,44.2
151,94,194.1
152,94,46.7
143,95,2500
144,95,40.7
145,95,41
146,95,41.176
147,95,44.092
148,95,42.2
149,95,89.5
150,95,19.2
139,96,50
140,96,45
141,96,194
142,96,35
143,96,242
144,96,38
145,96,5.5
146,96,42.13
147,96,42
148,96,42.957
149,96,54.789
150,96,42.852
151,96,61.67
152,96,43.4
153,96,26.236
154,96,43
139,97,102
142,97,47
143,97,240
144,97,51
145,97,250
146,97,18
147,97,140
150,97,29.88
152,97,8.777
153,97,34.47
154,97,32.5
143,98,155
145,98,7
146,98,37
147,98,5
148,98,44
149,98,55
150,98,41.53
151,98,62.48
152,98,42.721
153,98,24.826
154,98,45.72
155,98,61.61
156,98,50
145,99,200
150,99,353.2
152,99,8.4
153,99,35
154,99,46.3
155,99,80.1
147,100,45
148,100,46
149,100,58
151,100,63.9
152,100,42.1
153,100,22.3
154,100,44.992
155,100,61.6
156,100,48.12
144,101,300
147,101,45
149,101,250
150,101,55
151,101,49
152,101,60
154,101,12
155,101,240
148,102,1050
149,102,60.7
150,102,46.4
151,102,64
152,102,44.2
149,103,120
152,103,38
153,103,236
151,104,63
152,104,44
153,104,50
158,104,254
152,105,250
155,105,200
163,105,140
155,106,56
157,107,300
165,107,60.2
157,108,300
158,108,85
159,108,57
160,110,1130
163,110,283
171,113,105
