n,z,firstExcitedStateEnergy(keV)
37,28,63.37
38,28,1424.8
39,28,694.1
40,28,1770
41,28,321
42,28,1259.55
43,28,280.5
44,28,1096
45,28,239.2
46,28,1024
48,28,992
28,29,1028
29,29,202.99
30,29,491.5
31,29,62.2
32,29,475.05
33,29,40.83
34,29,669.93
35,29,159.282
36,29,770.64
37,29,185.953
38,29,1115.4
39,29,84.11
40,29,1096
41,29,101.1
42,29,454.2
43,29,137.32
44,29,135.4
46,29,61.7
48,29,293
28,30,1356
29,30,540
30,30,1003.9
31,30,88.55
32,30,953.84
33,30,192.92
34,30,991.54
35,30,53.928
36,30,1039.2279
37,30,93.312
38,30,1077.37
39,30,438.636
40,30,884.92
41,30,157.7
42,30,652.7
43,30,195.5
44,30,605.9
45,30,126.94
46,30,598.68
47,30,114.721
48,30,730.2
49,30,983
50,30,1492
52,30,618
30,31,220
31,31,571.2
32,31,75.32
33,31,42.86
34,31,61.94
35,31,43.812
36,31,166.98
37,31,175.017
38,31,318.706
39,31,508.17
40,31,389.94
41,31,16.44
42,31,0.3
43,31,56.55
44,31,22.39
45,31,172.29
46,31,105.66
47,31,281.38
48,31,5.4
49,31,22.4
50,31,351.1
51,31,34.5
30,32,964
32,32,901.7
33,32,111.02
34,32,956.94
35,32,18.2
36,32,1015.81
37,32,86.76
38,32,1039.506
39,32,174.943
40,32,691.43
41,32,13.2845
42,32,595.85
43,32,61.92
44,32,562.93
45,32,159.71
46,32,619.36
47,32,185.95
48,32,659.15
49,32,679.14
50,32,1348.3
51,32,247.2
52,32,624.3
53,32,107.2
54,32,527
32,33,3420
33,33,837.07
34,33,68.56
35,33,158.1
36,33,98.01
37,33,32.046
38,33,143.5
39,33,46.025
40,33,67.035
41,33,173.135
42,33,198.6063
43,33,44.425
44,33,194.71
45,33,184.5
46,33,100.45
47,33,243
48,33,93.1
49,33,131.6
50,33,306.51
51,33,99.9
32,34,929
34,34,853.75
35,34,38.85
36,34,944.52
37,34,48.79
38,34,862.07
39,34,25.71
40,34,634.74
41,34,112.3876
42,34,559.102
43,34,161.9223
44,34,613.727
45,34,95.77
46,34,666.27
47,34,103
48,34,654.71
49,34,228.92
50,34,1454.55
51,34,461.9
52,34,704.3
53,34,91.9
56,34,547
35,35,933.6
36,35,9.81
37,35,100.76
38,35,26.92
39,35,9.84
40,35,119.52
41,35,45.47
42,35,105.86
43,35,32.32
44,35,207.61
45,35,37.0526
46,35,275.985
47,35,45.9492
48,35,356.703
50,35,344.96
51,35,5.1
52,35,242.51
53,35,159.2
54,35,130.3
36,36,671
37,36,144.05
38,36,455.61
39,36,178.99
40,36,423.96
41,36,66.5
42,36,455.033
43,36,129.77
44,36,616.6
45,36,49.57
46,36,776.526
47,36,9.4057
48,36,881.615
49,36,304.871
50,36,1564.61
51,36,531.99
52,36,775.32
53,36,28.59
54,36,707.12
55,36,144.3
56,36,769.1
57,36,117.45
58,36,665.5
59,36,113.8
62,36,329
64,36,309
36,37,3230
37,37,478
38,37,38
39,37,101.29
40,37,144.83
41,37,46.84
42,37,39.37
43,37,175.25
44,37,86.31
45,37,69
46,37,5.2357
47,37,248.06
48,37,151.192
49,37,488.2
50,37,402.588
51,37,27.515
52,37,220.948
53,37,106.9
54,37,108.789
55,37,142.308
56,37,253.39
57,37,4.54
58,37,192
59,37,59.31
60,37,68.1
61,37,50.2
62,37,65
36,38,471
38,38,262.3
39,38,186
40,38,277.6
41,38,159.21
42,38,385.88
43,38,79.23
44,38,573.54
45,38,35.47
46,38,793.22
47,38,231.79
48,38,1076.68
49,38,388.5287
50,38,1836.09
51,38,1032
52,38,831.68
53,38,93.628
54,38,814.98
55,38,213.431
56,38,836.9
57,38,352.02
58,38,814.93
59,38,167.13
60,38,144.7
61,38,90.8
62,38,129.18
63,38,111.6
64,38,126
40,39,184
41,39,228.5
42,39,113.28
43,39,142.34
44,39,62.04
45,39,16.8
46,39,19.68
47,39,208.04
48,39,380.82
49,39,231.927
50,39,908.97
51,39,202.496
52,39,555.58
54,39,590.22
55,39,432.3
56,39,685.9
57,39,122.297
58,39,667.52
59,39,119.353
60,39,125.122
61,39,10.7
62,39,128.31
40,40,288.9
42,40,407
43,40,52.72
44,40,539.92
45,40,50.12
46,40,751.75
47,40,200.91
48,40,1057.03
49,40,587.82
50,40,1760.74
51,40,1204.81
52,40,934.51
53,40,266.82
54,40,918.75
55,40,953.97
56,40,1581.64
57,40,1103.13
58,40,854.06
59,40,121.74
60,40,212.61
61,40,98.16
62,40,151.78
63,40,109.1
64,40,139.3
65,40,124
66,40,152.1
68,40,174.3
41,41,418
42,41,129.52
43,41,48
46,41,3.9
48,41,35
49,41,122.37
50,41,104.6
51,41,135.5
52,41,30.77
53,41,40.892
54,41,235.69
55,41,44.19
56,41,743.35
57,41,84
58,41,365.27
59,41,67.4
60,41,119.41
62,41,126.42
63,41,8.7
64,41,128.1
65,41,107.9
67,41,64.3
68,41,116.7
42,42,443.9
44,42,566.6
45,42,31.56
46,42,740.54
47,42,118.8
48,42,948.02
49,42,653.01
50,42,1509.51
51,42,943.28
52,42,871.098
53,42,59.3
54,42,778.237
55,42,275
56,42,734.75
57,42,97.785
58,42,535.59
59,42,13.497
60,42,296.61
61,42,102.561
62,42,192.19
63,42,94.85
64,42,171.549
65,42,65.4
66,42,192.79
67,42,69.7
68,42,213.77
43,43,593
44,43,712
46,43,62.6
47,43,103.7
48,43,139.3
49,43,213.75
50,43,391.84
51,43,76
52,43,38.91
53,43,34.23
54,43,96.57
55,43,21.8
56,43,140.511
57,43,172.15
58,43,9.32
60,43,45.86
61,43,69.7
62,43,76.92
63,43,53.9
66,43,7
