Z,N,A,MthFL,FirstExc,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
11,17,28,-0.56,55.2,3.0,3.0,6.0,9.220872584116892,36.224856580459225,1.2857142857142858,1.0,1.0
11,18,29,1.68,72.0,3.0,2.0,5.0,9.43913067739236,35.80359912114344,1.6896551724137931,1.0,0.0
11,19,30,7.69,150.62,3.0,1.0,4.0,9.654893846056297,35.40127743553976,2.1333333333333333,1.0,1.0
11,20,31,11.75,375.0,3.0,0.0,3.0,9.868272403218972,35.01645046303507,2.6129032258064515,1.0,0.0
11,21,32,18.44,569.0,3.0,1.0,4.0,10.079368399158984,34.64782887210902,3.125,1.0,1.0
11,22,33,23.49,429.0,3.0,2.0,5.0,10.288276478101775,34.29425492700592,3.6666666666666665,1.0,0.0
11,24,35,36.8,373.0,3.0,4.0,7.0,10.699874805650794,33.62817796061678,4.828571428571428,1.0,0.0
12,8,20,15.56,1598.0,4.0,0.0,4.0,7.368062997280773,48.62921578205311,0.8,0.0,0.0
12,9,21,9.92,201.0,4.0,1.0,5.0,7.611662611020244,47.84473641212726,0.42857142857142855,0.0,1.0
12,10,22,-0.96,1247.02,4.0,2.0,6.0,7.851424410539689,47.10854646323814,0.18181818181818182,0.0,0.0
12,11,23,-4.97,450.7,4.0,3.0,7.0,8.087579399090064,46.41567307303863,0.043478260869565216,0.0,1.0
12,12,24,-13.06,1368.672,4.0,4.0,8.0,8.320335292207616,45.76184410714189,0.0,0.0,0.0
12,13,25,-12.23,585.045,4.0,5.0,9.0,8.549879733383484,45.1433649922648,0.04,0.0,1.0
12,14,26,-16.22,1808.74,4.0,6.0,10.0,8.776382955329126,44.557021157824806,0.15384615384615385,0.0,0.0
12,15,27,-13.0,984.88,4.0,5.0,9.0,8.999999999999998,44.0,0.3333333333333333,0.0,1.0
12,16,28,-14.09,1473.54,4.0,4.0,8.0,9.220872584116892,43.469827896551074,0.5714285714285714,0.0,0.0
12,17,29,-10.16,54.6,4.0,3.0,7.0,9.43913067739236,42.96431894537213,0.8620689655172413,0.0,1.0
12,18,30,-9.42,1482.8,4.0,2.0,6.0,9.654893846056297,42.481532922647716,1.2,0.0,0.0
12,19,31,-4.14,50.1,4.0,1.0,5.0,9.868272403218972,42.01974055564209,1.5806451612903225,0.0,1.0
12,20,32,-1.89,885.3,4.0,0.0,4.0,10.079368399158984,41.57739464653082,2.0,0.0,0.0
12,21,33,4.72,484.1,4.0,1.0,5.0,10.288276478101775,41.153105912407106,2.4545454545454546,0.0,1.0
12,22,34,8.11,660.0,4.0,2.0,6.0,10.49508462297634,40.74562265390815,2.9411764705882355,0.0,0.0
12,24,36,19.56,662.0,4.0,4.0,8.0,10.902723556992836,39.97665304230708,4.0,0.0,0.0
12,26,38,33.03,656.0,4.0,2.0,6.0,11.302878635921052,39.262631051094196,5.157894736842105,0.0,0.0
12,28,40,46.34,500.0,4.0,0.0,4.0,11.696070952851462,38.59703414440983,6.4,0.0,0.0
13,9,22,17.5,1850.0,5.0,1.0,6.0,7.851424410539689,55.673736729281444,0.7272727272727273,1.0,1.0
13,10,23,6.57,550.0,5.0,2.0,7.0,8.087579399090064,54.85488635904566,0.391304347826087,1.0,0.0
13,11,24,0.37,425.8,5.0,3.0,8.0,8.320335292207616,54.08217939934951,0.16666666666666666,1.0,1.0
13,12,25,-8.1,451.7,5.0,4.0,9.0,8.549879733383484,53.35124953631295,0.04,1.0,0.0
13,13,26,-11.01,228.305,5.0,5.0,10.0,8.776382955329126,52.65829773197477,0.0,1.0,1.0
13,14,27,-15.81,843.76,5.0,6.0,11.0,8.999999999999998,52.0,0.037037037037037035,1.0,0.0
13,15,28,-15.64,30.6382,5.0,5.0,10.0,9.220872584116892,51.373432968651265,0.14285714285714285,1.0,1.0
13,16,29,-16.99,1398.05,5.0,4.0,9.0,9.43913067739236,50.776013299076155,0.3103448275862069,1.0,0.0
13,17,30,-14.12,243.9,5.0,3.0,8.0,9.654893846056297,50.205447999492755,0.5333333333333333,1.0,1.0
13,18,31,-15.03,946.7,5.0,2.0,7.0,9.868272403218972,49.65969338394065,0.8064516129032258,1.0,0.0
13,19,32,-10.85,734.7,5.0,1.0,6.0,10.079368399158984,49.13692094590006,1.125,1.0,1.0
13,20,33,-9.24,747.5,5.0,0.0,5.0,10.288276478101775,48.63548880557204,1.4848484848484849,1.0,0.0
13,21,34,-3.98,657.0,5.0,1.0,6.0,10.49508462297634,48.15391768189145,1.8823529411764706,1.0,1.0
13,22,35,-1.11,802.0,5.0,2.0,7.0,10.699874805650794,47.69087056232926,2.3142857142857145,1.0,0.0
13,26,39,20.28,800.0,5.0,2.0,7.0,11.500315051230226,46.00126020492091,4.333333333333333,1.0,0.0
14,10,24,9.43,1879.0,6.0,2.0,8.0,8.320335292207616,63.09587596590776,0.6666666666666666,0.0,0.0
14,11,25,2.95,40.0,6.0,3.0,9.0,8.549879733383484,62.24312445903177,0.36,0.0,1.0
14,12,26,-7.21,1797.3,6.0,4.0,10.0,8.776382955329126,61.4346806873039,0.15384615384615385,0.0,0.0
14,13,27,-11.53,780.9,6.0,5.0,11.0,8.999999999999998,60.666666666666664,0.037037037037037035,0.0,1.0
14,14,28,-19.68,1779.03,6.0,6.0,12.0,9.220872584116892,59.93567179675981,0.0,0.0,0.0
14,15,29,-19.01,1273.387,6.0,5.0,11.0,9.43913067739236,59.23868218225551,0.034482758620689655,0.0,1.0
14,16,30,-22.9,2235.322,6.0,4.0,10.0,9.654893846056297,58.57302266607488,0.13333333333333333,0.0,0.0
14,17,31,-21.29,752.23,6.0,3.0,9.0,9.868272403218972,57.936308947930755,0.2903225806451613,0.0,1.0
14,18,32,-22.95,1941.4,6.0,2.0,8.0,10.079368399158984,57.32640777021673,0.5,0.0,0.0
14,19,33,-19.67,1010.2,6.0,1.0,7.0,10.288276478101775,56.74140360650071,0.7575757575757576,0.0,1.0
14,20,34,-19.63,3327.14,6.0,0.0,6.0,10.49508462297634,56.17957062887336,1.0588235294117647,0.0,0.0
14,21,35,-14.91,909.95,6.0,1.0,7.0,10.699874805650794,55.63934898938413,1.4,0.0,1.0
14,22,36,-13.54,1408.0,6.0,2.0,8.0,10.902723556992836,55.11932464924158,1.7777777777777777,0.0,0.0
14,23,37,-7.24,68.2,6.0,3.0,9.0,11.103702468586784,54.61821214277825,2.189189189189189,0.0,1.0
14,24,38,-5.19,1074.0,6.0,4.0,10.0,11.302878635921052,54.134839782569266,2.6315789473684212,0.0,0.0
14,26,40,4.85,986.0,6.0,2.0,8.0,11.696070952851462,53.217122835474164,3.6,0.0,0.0
14,27,41,10.55,672.0,6.0,1.0,7.0,11.890202136872691,52.78089729050805,4.121951219512195,0.0,1.0
14,28,42,14.05,742.0,6.0,0.0,6.0,12.082761235960547,52.35863202249571,4.666666666666667,0.0,0.0
15,11,26,11.27,164.4,5.0,3.0,8.0,8.776382955329126,70.8861700238122,0.6153846153846154,1.0,1.0
15,12,27,0.23,1120.0,5.0,4.0,9.0,8.999999999999998,70.0,0.3333333333333333,1.0,0.0
15,13,28,-6.56,105.64,5.0,5.0,10.0,9.220872584116892,69.15654438087671,0.14285714285714285,1.0,1.0
15,14,29,-14.49,1383.55,5.0,6.0,11.0,9.43913067739236,68.3523255949102,0.034482758620689655,1.0,0.0
15,15,30,-18.25,677.01,5.0,5.0,10.0,9.654893846056297,67.58425692239409,0.0,1.0,1.0
15,16,31,-23.06,1266.13,5.0,4.0,9.0,9.868272403218972,66.8495872476124,0.03225806451612903,1.0,0.0
15,17,32,-22.26,78.06,5.0,3.0,8.0,10.079368399158984,66.14585511948084,0.125,1.0,1.0
15,18,33,-24.66,1431.7,5.0,2.0,7.0,10.288276478101775,65.47085031519312,0.2727272727272727,1.0,0.0
15,19,34,-23.04,429.09,5.0,1.0,6.0,10.49508462297634,64.82258149485388,0.47058823529411764,1.0,1.0
15,20,35,-23.52,2386.6,5.0,0.0,5.0,10.699874805650794,64.19924883390478,0.7142857142857143,1.0,0.0
15,21,36,-20.27,249.9,5.0,1.0,6.0,10.902723556992836,63.599220749124896,1.0,1.0,1.0
15,22,37,-19.05,861.0,5.0,2.0,7.0,11.103702468586784,63.02101401089798,1.3243243243243243,1.0,0.0
15,23,38,-14.7,380.0,5.0,3.0,8.0,11.302878635921052,62.463276672195306,1.6842105263157894,1.0,1.0
15,24,39,-12.85,355.0,5.0,4.0,9.0,11.500315051230226,61.92477335277815,2.076923076923077,1.0,0.0
15,26,41,-5.11,172.0,5.0,2.0,7.0,11.890202136872691,60.9010353352016,2.951219512195122,1.0,0.0
15,28,43,4.51,184.0,5.0,0.0,5.0,12.273797969521459,59.94180403719784,3.9302325581395348,1.0,0.0
16,12,28,4.27,1507.0,4.0,4.0,8.0,9.220872584116892,79.03605072100194,0.5714285714285714,0.0,0.0
16,13,29,-2.6,1222.0,4.0,5.0,9.0,9.43913067739236,78.11694353704023,0.3103448275862069,0.0,1.0
16,14,30,-13.16,2210.6,4.0,6.0,10.0,9.654893846056297,77.23915076845039,0.13333333333333333,0.0,0.0
16,15,31,-17.32,1248.87,4.0,5.0,9.0,9.868272403218972,76.39952828298561,0.03225806451612903,0.0,1.0
16,16,32,-25.07,2230.57,4.0,4.0,8.0,10.079368399158984,75.5952629936924,0.0,0.0,0.0
16,17,33,-25.22,840.982,4.0,3.0,7.0,10.288276478101775,74.82382893164929,0.030303030303030304,0.0,1.0
16,18,34,-28.93,2127.564,4.0,2.0,6.0,10.49508462297634,74.082950279833,0.11764705882352941,0.0,0.0
16,19,35,-27.98,1572.378,4.0,1.0,5.0,10.699874805650794,73.37057009589117,0.2571428571428571,0.0,1.0
16,20,36,-30.13,3290.9,4.0,0.0,4.0,10.902723556992836,72.6848237132856,0.4444444444444444,0.0,0.0
16,21,37,-27.25,646.177,4.0,1.0,5.0,11.103702468586784,72.02401601245484,0.6756756756756757,0.0,1.0
16,22,38,-27.6,1292.02,4.0,2.0,6.0,11.302878635921052,71.38660191108035,0.9473684210526315,0.0,0.0
16,23,39,-23.6,58.73,4.0,3.0,7.0,11.500315051230226,70.77116954603217,1.2564102564102564,0.0,1.0
