index,Z,N,A,MthFL,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
118,11,35,46,138.46,3.0,7.0,10.0,12.838232045991905,30.70012010998065,12.521739130434783,1.0,1.0
119,11,36,47,148.73,3.0,8.0,11.0,13.023625676689214,30.48082605182583,13.297872340425531,1.0,0.0
120,11,37,48,161.06,3.0,9.0,12.0,13.207708995578505,30.26766644820075,14.083333333333334,1.0,1.0
121,11,38,49,171.17,3.0,10.0,13.0,13.390518279406722,30.06034715785183,14.877551020408163,1.0,0.0
122,11,39,50,184.76,3.0,11.0,14.0,13.572088082974531,29.858593782543974,15.68,1.0,1.0
123,11,40,51,195.94,3.0,10.0,13.0,13.752451353579682,29.662149978309124,16.49019607843137,1.0,0.0
124,11,41,52,208.38,3.0,9.0,12.0,13.93163953576523,29.470775941041843,17.307692307692307,1.0,1.0
125,11,42,53,218.25,3.0,8.0,11.0,14.109682667364165,29.284247045472803,18.132075471698112,1.0,0.0
126,11,43,54,231.42,3.0,7.0,10.0,14.286609467713793,29.10235261941699,18.962962962962962,1.0,1.0
127,11,44,55,243.01,3.0,6.0,9.0,14.462447418811122,28.92489483762225,19.8,1.0,0.0
150,12,30,42,64.72,4.0,2.0,6.0,12.082761235960547,37.974392455876014,7.714285714285714,0.0,0.0
151,12,31,43,75.52,4.0,3.0,7.0,12.273797969521459,37.67770539481007,8.395348837209303,0.0,1.0
152,12,32,44,83.58,4.0,4.0,8.0,12.463359368739502,37.39007810621851,9.090909090909092,0.0,0.0
153,12,33,45,94.8,4.0,5.0,9.0,12.651489979526238,37.11103727327697,9.8,0.0,1.0
154,12,34,46,103.0,4.0,6.0,10.0,12.838232045991905,36.84014413197678,10.521739130434783,0.0,0.0
155,12,35,47,114.36,4.0,7.0,11.0,13.023625676689214,36.576991262190994,11.25531914893617,0.0,1.0
156,12,36,48,123.58,4.0,8.0,12.0,13.207708995578505,36.3211997378409,12.0,0.0,0.0
157,12,37,49,135.39,4.0,9.0,13.0,13.390518279406722,36.0724165894222,12.755102040816327,0.0,1.0
158,12,38,50,144.9,4.0,10.0,14.0,13.572088082974531,35.83031253905277,13.52,0.0,0.0
159,12,39,51,156.72,4.0,11.0,15.0,13.752451353579682,35.59457997397095,14.294117647058824,0.0,1.0
160,12,40,52,166.34,4.0,10.0,14.0,13.93163953576523,35.36493112925021,15.076923076923077,0.0,0.0
