AAA,ZZZi,AEl,s,Mass,dMass,FirstExc,NNNi,DeltaZ,DeltaN,DeltaSum,A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,ZEO,NEO
12,6,12C,j,27595.0,2.4,4439.82,6,2.0,2.0,4.0,5.241482788417793,13.103706971044483,0.0,0.0,0.0
11,6,11C,i,22810.0,40.0,2000.0,5,2.0,3.0,5.0,4.9460874432487,13.489329390678277,0.09090909090909091,0.0,1.0
9,6,9C,,28911.0,2.1,2218.0,3,2.0,1.0,3.0,4.3267487109222245,14.422495703074084,1.0,0.0,1.0
10,6,10C,,15698.67,0.07,3353.7,4,2.0,2.0,4.0,4.641588833612778,13.924766500838336,0.4,0.0,0.0
13,6,13C,i,18233.8,1.1,3089.4429999999998,7,2.0,1.0,3.0,5.528774813678871,12.758711108489706,0.07692307692307693,0.0,1.0
21,7,21N,,25230.0,130.0,1160.0,14,1.0,6.0,7.0,7.611662611020244,15.223325222040492,2.3333333333333335,1.0,0.0
14,7,14N,,2863.4168,0.0002,2312.798,7,1.0,1.0,2.0,5.808785733563703,17.426357200691115,0.0,1.0,1.0
20,7,20N,,21770.0,80.0,843.0,13,1.0,5.0,6.0,7.368062997280773,15.472932294289626,1.8,1.0,1.0
10,7,10N,,38800.0,400.0,900.0,3,1.0,1.0,2.0,4.641588833612778,19.49467310117367,1.6,1.0,1.0
11,7,11N,m,25110.0,60.0,730.0,4,1.0,2.0,3.0,4.9460874432487,18.88506114694959,0.8181818181818182,1.0,0.0
18,7,18N,,13113.0,19.0,114.71,11,1.0,3.0,4.0,6.868285455319991,16.02599939574665,0.8888888888888888,1.0,1.0
19,7,19N,,15856.0,16.0,1143.0,12,1.0,4.0,5.0,7.1203673589019925,15.73975942494125,1.3157894736842106,1.0,0.0
16,7,16N,m,5804.3,2.3,120.42,9,1.0,1.0,2.0,6.3496042078727974,16.667711045666096,0.25,1.0,1.0
17,7,17N,,7870.0,15.0,1373.9,10,1.0,2.0,3.0,6.611489018457944,16.334266986778452,0.5294117647058824,1.0,0.0
